95,Spring Branch Smithson Valley (TX),39.061,39.414,1.024,32.563,-5.075,(TX),34
96,Mesquite Poteet (TX),39.001,38.431,1.149,33.429,-4.975,(TX),28
97,New Orleans St. Augustine (LA),38.998,39.245,1.104,32.063,-4.252,(LA),44
98,Honolulu Saint Louis (HI),38.984,38.709,1.268,34.964,-1.143,(HI),55
99,Oklahoma City Westmoore (OK),38.956,38.903,1.107,33.074,-5.014,(OK),27
100,Garland Rowlett (TX),38.912,39.566,1.097,33.646,-4.485,(TX),27
101,Cedar Rapids Xavier (IA),38.894,39.392,.666,30.433,-6.375,(IA),25
102,Starkville (MS),38.878,38.474,1.043,33.109,-3.661,(MS),47
103,Lovejoy (GA),38.858,39.168,1.136,31.422,-6.252,(GA),29
104,Austin Bowie (TX),38.831,38.600,1.086,32.463,-5.813,(TX),36
105,North Mesquite (TX),38.622,39.038,1.036,33.966,-3.431,(TX),41
106,Lakeland (FL),38.552,38.608,1.085,32.386,-2.820,(FL),64
107,Monroe Neville (LA),38.505,38.512,1.118,31.312,-3.493,(LA),57
108,Marietta Walton (GA),38.499,38.417,1.002,33.029,-4.601,(GA),38
109,Melbourne Palm Bay (FL),38.475,38.363,1.016,32.019,-5.144,(FL),37
110,New Orleans Brother Martin (LA),38.457,38.315,1.120,32.207,-3.516,(LA),43
111,Miami Central (FL),38.439,38.263,.884,33.146,-3.228,(FL),48
112,Dallas Lake Highlands (TX),38.431,38.402,1.053,34.228,-2.590,(TX),56
113,Murfreesboro Oakland (TN),38.380,37.832,1.048,31.971,-4.236,(TN),39
114,Jacksonville Raines (FL),38.349,37.953,.918,31.863,-4.048,(FL),47
115,Atlanta Westlake (GA),38.306,38.761,1.012,31.733,-5.917,(GA),36
116,Muskegon (MI),38.214,38.297,.916,32.312,-1.201,(MI),66
117,Montvale Saint Joseph Regional (NJ),38.094,37.253,1.072,32.564,-2.750,(NJ),44
118,Liberty Township Lakota East (OH),38.070,38.156,.987,30.599,-6.450,(OH),25
119,Wexford North Allegheny (PA),37.990,37.428,1.057,31.547,-3.567,(PA),40
120,Murfreesboro Riverdale (TN),37.957,37.735,1.041,32.627,-2.970,(TN),39
121,Lafayette Acadiana (LA),37.934,38.149,1.018,35.192,-1.107,(LA),45
122,Tyler Lee (TX),37.913,37.873,.972,32.579,-3.035,(TX),42
123,Macon Westside (GA),37.904,37.826,1.170,32.971,-4.181,(GA),25
124,Tyler (TX),37.847,37.532,1.019,33.039,-1.746,(TX),55
125,Navarre (FL),37.812,38.206,1.090,34.075,-3.221,(FL),25
126,Tampa Hillsborough (FL),37.794,37.581,1.071,31.511,-3.390,(FL),44
127,Spartanburg (SC),37.717,37.890,1.081,33.089,-2.857,(SC),45
128,Tulsa Booker T. Washington (OK),37.393,37.938,.928,32.896,-1.969,(OK),43
129,Oradell Bergen Catholic (NJ),37.343,35.744,1.046,31.011,-2.754,(NJ),46
130,Mesa Red Mountain (AZ),37.285,37.170,1.053,31.390,-3.717,(AZ),29
131,Youngstown Cardinal Mooney (OH),37.252,37.320,1.087,31.634,-2.755,(OH),38
132,Norcross Greater Atlanta Christian (GA),37.237,37.914,1.063,32.876,-3.904,(GA),27
133,Abilene (TX),37.219,36.965,1.012,32.142,-2.368,(TX),114
134,Dublin Coffman (OH),37.213,37.377,.957,31.457,-4.238,(OH),35
135,Bellefonte Academy (PA),37.167,36.987,1.083,31.544,1.106,(PA),42
136,Buda Hays (TX),37.117,37.359,1.077,34.967,-1.671,(TX),32
137,Longview (TX),37.074,37.137,1.012,32.252,-2.130,(TX),74
138,San Antonio Churchill (TX),36.985,36.727,1.070,31.010,-4.747,(TX),41
139,Phenix City Central (AL),36.929,36.777,.995,31.785,-3.026,(AL),51
140,Howells-Dodge (NE),36.918,36.452,.856,33.047,-2.914,(NE),26
141,Athens Clarke Central (GA),36.816,36.938,1.030,32.788,-2.750,(GA),53
142,Mission Viejo (CA),36.793,37.017,.976,33.688,-1.155,(CA),43
143,Lakeland Lake Gibson (FL),36.779,36.718,.989,32.331,-3.088,(FL),38
144,Tucker (GA),36.775,36.689,.979,32.552,-1.568,(GA),42
145,West Des Moines Dowling Catholic (IA),36.714,36.610,.707,32.725,-1.245,(IA),40
146,Jackson Academy (MS),36.709,36.836,1.150,30.236,-5.600,(MS),39
147,West Orange-Stark (TX),36.707,36.937,.982,30.407,-3.210,(TX),53
148,Daphne (AL),36.702,37.247,1.104,31.104,-5.168,(AL),34
149,Vicksburg Warren Central (MS),36.676,36.856,1.032,30.020,-5.251,(MS),37
150,Thomasville Thomas County Central (GA),36.651,36.464,.981,32.270,-2.825,(GA),43
151,Tampa Plant (FL),36.629,36.431,1.063,31.965,-2.330,(FL),44
152,Paris Henry County (TN),36.590,36.541,1.055,32.166,-2.977,(TN),26
153,Amarillo (TX),36.587,36.893,1.027,31.304,-2.112,(TX),107
154,Lake Charles Barbe (LA),36.585,36.756,.928,33.020,-1.689,(LA),45
155,Edmond Santa Fe (OK),36.524,36.588,.891,31.949,-3.814,(OK),30
156,Pittsburgh Penn Hills (PA),36.509,36.718,1.077,29.757,-3.121,(PA),45
157,Monroeville Gateway (PA),36.468,36.139,1.030,30.575,-2.259,(PA),48
158,Norman North (OK),36.380,36.378,.843,34.505,-1.009,(OK),25
159,Canton McKinley (OH),36.367,36.364,.986,31.255,-.196,(OH),123
160,San Antonio Roosevelt (TX),36.359,36.103,1.026,33.103,-1.933,(TX),41
161,Destrehan (LA),36.346,36.837,1.051,31.577,-2.147,(LA),54
162,Summerville (SC),36.343,36.464,1.033,33.537,-1.329,(SC),44
163,Lufkin (TX),36.268,36.337,.977,32.852,-.852,(TX),71
164,Douglas Coffee (GA),36.245,36.269,.899,31.897,-3.695,(GA),48
165,Arlington Bowie (TX),36.198,36.478,.935,33.879,-.839,(TX),38
166,Harrisburg (PA),36.162,36.024,.916,31.786,-1.202,(PA),54
167,Aurora Grandview (CO),36.131,35.870,1.194,30.830,-4.193,(CO),26
168,Fort Valley Peach County (GA),36.099,36.202,.890,32.365,-2.777,(GA),48
169,Waynesboro Burke County (GA),36.042,35.804,1.015,31.615,-3.856,(GA),26
170,Duncan Byrnes (SC),36.006,35.597,.885,32.137,-1.953,(SC),59
171,Pocatello Highland (ID),35.954,35.511,1.157,33.336,.442,(ID),42
172,Birmingham Oak Mountain (AL),35.827,35.584,1.059,29.642,-5.562,(AL),25
173,Eagle (ID),35.783,36.068,1.104,32.436,-2.007,(ID),29
174,Clifton Centreville (VA),35.728,36.198,1.013,31.016,-3.740,(VA),33
175,Rockwall (TX),35.697,35.970,.847,32.765,.291,(TX),50
176,Upper Saint Clair (PA),35.654,35.910,1.014,29.414,-3.185,(PA),42
177,New Orleans Jesuit (LA),35.623,35.744,.948,29.567,-2.790,(LA),63
178,Huntington Beach Edison (CA),35.546,35.152,1.010,31.034,-1.800,(CA),47
179,Pompano Beach Blanche Ely (FL),35.542,35.508,.990,29.714,-3.685,(FL),35
180,Dallas Carter (TX),35.525,35.479,.959,31.753,-2.825,(TX),53
181,South Jordan Bingham (UT),35.481,35.360,.946,31.219,-2.240,(UT),43
182,Houston Klein Forest (TX),35.459,35.477,1.024,32.125,-2.681,(TX),38
183,Texarkana Texas (TX),35.454,35.709,1.054,30.321,-1.869,(TX),56
184,Lewisville The Colony (TX),35.440,35.592,.954,32.491,-2.101,(TX),32
185,Miami Columbus (FL),35.423,35.818,.963,29.823,-3.020,(FL),49
186,Montgomery Lee (AL),35.407,35.226,.970,30.501,-3.094,(AL),50
187,Cuyahoga Falls Walsh Jesuit (OH),35.365,35.545,1.018,29.676,-3.269,(OH),38
188,Tulsa Union (OK),35.356,35.647,.709,32.533,-.891,(OK),43
189,Birmingham Mountain Brook (AL),35.270,35.293,1.007,30.433,-3.608,(AL),54
190,Charlotte Zebulon B. Vance (NC),35.264,35.526,.894,29.993,-5.551,(NC),30
191,Wheaton North (IL),35.250,35.325,.899,29.770,-3.624,(IL),34
192,Killeen Ellison (TX),35.237,35.347,.923,31.390,-3.608,(TX),40
193,Edina (MN),35.218,35.265,1.061,29.489,-4.588,(MN),30
194,Pittsburgh Mount Lebanon (PA),35.215,35.504,1.067,29.690,-1.826,(PA),47
195,Highlands Ranch ThunderRidge (CO),35.209,34.856,1.131,30.029,-3.562,(CO),25
196,Hyattsville DeMatha Catholic (MD),35.195,35.176,1.060,29.665,-2.032,(MD),58
197,Westwood Xaverian Brothers (MA),35.189,34.900,1.039,31.713,-2.237,(MA),27
198,Katy (TX),35.118,35.089,.823,31.277,-.931,(TX),62
199,Midwest City (OK),35.110,34.591,.946,30.680,-1.500,(OK),55
200,Wichita Falls Rider (TX),35.060,33.951,.971,31.934,-1.471,(TX),38
201,Tift County (GA),35.046,35.669,.853,30.351,-3.315,(GA),43
202,Omaha Millard North (NE),34.936,35.038,.705,31.994,-.757,(NE),31
203,Phillips Exeter Academy (NH),34.925,34.915,.931,26.910,-.388,(NH),86
204,Saint Louis Christian Brothers College (MO),34.909,35.251,.788,34.245,.509,(MO),37
205,Dallas Skyline (TX),34.883,34.852,.841,30.726,-2.631,(TX),48
206,Dublin Scioto (OH),34.877,34.232,1.019,30.166,-3.420,(OH),28
207,Maple Grove (MN),34.876,34.734,1.027,29.402,-5.526,(MN),26
208,Scottsdale Saguaro (AZ),34.875,34.872,.841,32.929,.239,(AZ),41
209,Homewood (AL),34.872,34.899,.969,31.150,-2.798,(AL),43
210,Fort Lauderdale Dillard (FL),34.861,34.632,.850,29.007,-3.675,(FL),49
211,Melville Saint Anthony's (NY),34.858,35.023,.962,31.139,-1.450,(NY),36
212,Katy Taylor (TX),34.807,34.677,.974,29.943,-3.790,(TX),35
213,Gaffney (SC),34.803,34.610,1.056,31.166,-.935,(SC),69
214,Montgomery Jefferson Davis (AL),34.802,34.900,.967,31.470,-2.523,(AL),42
215,Salt Lake City Brighton (UT),34.790,34.463,1.005,30.055,-2.057,(UT),41
216,Park Ridge Maine South (IL),34.789,34.833,.887,31.840,-.838,(IL),42
217,Springfield Sacred Heart-Griffin (IL),34.749,34.598,.875,33.780,.905,(IL),41
218,Hampton Phoebus (VA),34.742,34.017,.869,30.424,-3.427,(VA),45
219,Norman (OK),34.721,34.537,.776,30.280,-.188,(OK),62
220,Indianapolis Ben Davis (IN),34.685,34.948,.782,31.823,.131,(IN),59
221,Fort Wayne Snider (IN),34.681,34.318,.868,31.985,-.212,(IN),52
222,Port Neches-Groves (TX),34.662,34.395,.979,32.130,.011,(TX),48
223,Murrieta Valley (CA),34.646,34.642,1.028,33.963,.728,(CA),27
224,Lake Mary (FL),34.632,34.460,.976,30.937,-2.453,(FL),36
225,North Little Rock (AR),34.612,34.263,1.007,29.504,-1.833,(AR),44
226,Miramar (FL),34.609,34.952,.797,29.606,-3.684,(FL),39
227,Rocklin (CA),34.608,34.528,1.018,29.253,-4.567,(CA),25
228,Houston Cypress Creek (TX),34.599,34.335,.921,33.331,-.519,(TX),39
229,Merritt Island (FL),34.597,34.659,1.014,30.545,-1.557,(FL),46
230,Indianapolis Cathedral (IN),34.572,34.540,.998,29.028,-1.560,(IN),61
231,Cincinnati Princeton (OH),34.557,34.345,.890,30.715,-.235,(OH),59
232,Miami Carol City (FL),34.529,34.611,.912,27.750,-4.231,(FL),47
233,Kingwood (TX),34.500,33.768,.989,28.673,-4.732,(TX),38
234,Olney Our Lady of Good Counsel (MD),34.491,34.075,.851,28.541,-3.249,(MD),41
235,Moreno Valley Rancho Verde (CA),34.417,34.028,.899,32.705,-.633,(CA),27
236,Mishawaka Penn (IN),34.342,34.372,.880,30.253,-1.976,(IN),48
237,West Mesquite (TX),34.327,34.734,.870,32.146,-1.220,(TX),29
238,Deerfield Beach (FL),34.318,34.487,.815,30.427,-2.165,(FL),48
239,Indianapolis Warren Central (IN),34.313,33.934,.820,30.515,-.720,(IN),61
240,Reserve East Saint John (LA),34.310,33.545,.921,31.884,-1.302,(LA),34
241,Columbia Ridge View (SC),34.259,33.746,1.060,29.497,-4.195,(SC),27
242,El Paso Franklin (TX),34.179,34.481,.983,32.291,-.981,(TX),28
243,Plant City Durant (FL),34.139,33.483,1.024,29.490,-3.853,(FL),25
244,Cincinnati La Salle (OH),34.132,33.670,.867,30.013,-1.409,(OH),55
245,Tarpon Springs East Lake (FL),34.099,34.235,.950,29.945,-3.120,(FL),28
246,Los Alamitos (CA),34.086,33.583,.920,30.718,-.673,(CA),45
247,Louisville Saint Xavier (KY),34.057,34.137,.863,28.395,-2.181,(KY),62
248,Prichard Vigor (AL),34.052,34.198,.989,28.266,-3.877,(AL),45
249,Princeton Prep (NJ),34.041,34.220,1.184,30.859,3.839,(NJ),29
250,Hilliard Darby (OH),34.041,33.702,.991,29.004,-4.492,(OH),26
