"TeamName","State","URL","Date","Location","Opponent","WL","Score","OpponentURL","ScrapedAt","Status"
"Algonquin Jacobs (IL)","(IL)","https://www.maxpreps.com/il/algonquin/jacobs-golden-eagles/football/schedule/","9/6","@","Hampshire","W","28-21","https://www.maxpreps.com/il/hampshire/hampshire-whip-purs/football/","2025-02-10T17:06:06.372069","Processed"
"Algonquin Jacobs (IL)","(IL)","https://www.maxpreps.com/il/algonquin/jacobs-golden-eagles/football/schedule/","9/13","vs","Huntley","W","26-15","https://www.maxpreps.com/il/huntley/huntley-red-raiders/football/","2025-02-10T17:06:06.416762","Processed"
"Algonquin Jacobs (IL)","(IL)","https://www.maxpreps.com/il/algonquin/jacobs-golden-eagles/football/schedule/","9/20","@","Cary-Grove","L","35-14","https://www.maxpreps.com/il/cary/cary-grove-trojans/football/","2025-02-10T17:06:06.461023","Processed"
"Algonquin Jacobs (IL)","(IL)","https://www.maxpreps.com/il/algonquin/jacobs-golden-eagles/football/schedule/","9/27","vs","Dundee-Crown","W","56-21","https://www.maxpreps.com/il/carpentersville/dundee-crown-chargers/football/","2025-02-10T17:06:06.507320","Processed"
"Algonquin Jacobs (IL)","(IL)","https://www.maxpreps.com/il/algonquin/jacobs-golden-eagles/football/schedule/","10/4","@","Central","W","21-18","https://www.maxpreps.com/il/burlington/burlington-central-rockets/football/","2025-02-10T17:06:06.554876","Processed"
"Algonquin Jacobs (IL)","(IL)","https://www.maxpreps.com/il/algonquin/jacobs-golden-eagles/football/schedule/","10/11","vs","Crystal Lake Central","W","27-3","https://www.maxpreps.com/il/crystal-lake/crystal-lake-central-tigers/football/","2025-02-10T17:06:06.606461","Processed"
"Algonquin Jacobs (IL)","(IL)","https://www.maxpreps.com/il/algonquin/jacobs-golden-eagles/football/schedule/","10/18","@","McHenry","W","35-19","https://www.maxpreps.com/il/mchenry/mchenry-warriors/football/","2025-02-10T17:06:06.680867","Processed"
"Algonquin Jacobs (IL)","(IL)","https://www.maxpreps.com/il/algonquin/jacobs-golden-eagles/football/schedule/","10/25","vs","Crystal Lake South","W","41-7","https://www.maxpreps.com/il/crystal-lake/crystal-lake-south-gators/football/","2025-02-10T17:06:06.758743","Processed"
"Algonquin Jacobs (IL)","(IL)","https://www.maxpreps.com/il/algonquin/jacobs-golden-eagles/football/schedule/","11/1","vs","Bradley-Bourbonnais","L","34-27","https://www.maxpreps.com/il/bradley/bradley-bourbonnais-boilermakers/football/","2025-02-10T17:06:06.815091","Processed"
"Alton (IL)","(IL)","https://www.maxpreps.com/il/alton/alton-redbirds/football/schedule/","8/31","vs","Althoff Catholic","L","41-14","https://www.maxpreps.com/il/belleville/althoff-catholic-crusaders/football/","2025-02-10T17:06:17.431265","Processed"
"Alton (IL)","(IL)","https://www.maxpreps.com/il/alton/alton-redbirds/football/schedule/","9/6","@","Quincy","L","42-13","https://www.maxpreps.com/il/quincy/quincy-blue-devils/football/","2025-02-10T17:06:17.478382","Processed"
"Alton (IL)","(IL)","https://www.maxpreps.com/il/alton/alton-redbirds/football/schedule/","9/13","@","Triad","L","43-25","https://www.maxpreps.com/il/troy/triad-knights/football/","2025-02-10T17:06:17.530323","Processed"
"Alton (IL)","(IL)","https://www.maxpreps.com/il/alton/alton-redbirds/football/schedule/","9/20","@","Belleville West","L","44-22","https://www.maxpreps.com/il/belleville/belleville-west-maroons/football/","2025-02-10T17:06:17.589614","Processed"
"Alton (IL)","(IL)","https://www.maxpreps.com/il/alton/alton-redbirds/football/schedule/","9/27","vs","Belleville East","L","27-0","https://www.maxpreps.com/il/belleville/belleville-east-lancers/football/","2025-02-10T17:06:17.654522","Processed"
"Alton (IL)","(IL)","https://www.maxpreps.com/il/alton/alton-redbirds/football/schedule/","10/4","vs","Edwardsville","L","42-0","https://www.maxpreps.com/il/edwardsville/edwardsville-tigers/football/","2025-02-10T17:06:17.712105","Processed"
"Alton (IL)","(IL)","https://www.maxpreps.com/il/alton/alton-redbirds/football/schedule/","10/11","@","East St. Louis","L","57-0","https://www.maxpreps.com/il/east-st-louis/east-st-louis-flyers/football/","2025-02-10T17:06:17.768784","Processed"
"Alton (IL)","(IL)","https://www.maxpreps.com/il/alton/alton-redbirds/football/schedule/","10/18","@","O'Fallon","W","30-17","https://www.maxpreps.com/il/ofallon/ofallon-panthers/football/","2025-02-10T17:06:17.819668","Processed"
"Alton (IL)","(IL)","https://www.maxpreps.com/il/alton/alton-redbirds/football/schedule/","10/25","vs","Mt. Vernon","W","33-32","https://www.maxpreps.com/il/mt-vernon/mt-vernon-rams/football/","2025-02-10T17:06:17.872046","Processed"
"Alton Marquette Catholic (IL)","(IL)","https://www.maxpreps.com/il/alton/marquette-catholic-explorers/football/schedule/","8/30","@","Civic Memorial","L","43-2","https://www.maxpreps.com/il/bethalto/civic-memorial-eagles/football/","2025-02-10T17:06:29.068785","Processed"
"Alton Marquette Catholic (IL)","(IL)","https://www.maxpreps.com/il/alton/marquette-catholic-explorers/football/schedule/","9/6","vs","Clinton","L","35-7","https://www.maxpreps.com/il/clinton/clinton-maroons/football/","2025-02-10T17:06:29.117777","Processed"
"Alton Marquette Catholic (IL)","(IL)","https://www.maxpreps.com/il/alton/marquette-catholic-explorers/football/schedule/","9/13","@","East Alton-Wood River","L","24-7","https://www.maxpreps.com/il/wood-river/east-alton-wood-river-oilers/football/","2025-02-10T17:06:29.160545","Processed"
"Alton Marquette Catholic (IL)","(IL)","https://www.maxpreps.com/il/alton/marquette-catholic-explorers/football/schedule/","9/20","vs","Harrisburg","L","54-0","https://www.maxpreps.com/il/harrisburg/harrisburg-bulldogs/football/","2025-02-10T17:06:29.205732","Processed"
"Alton Marquette Catholic (IL)","(IL)","https://www.maxpreps.com/il/alton/marquette-catholic-explorers/football/schedule/","9/26","@","Althoff Catholic","L","49-0","https://www.maxpreps.com/il/belleville/althoff-catholic-crusaders/football/","2025-02-10T17:06:29.252489","Processed"
"Alton Marquette Catholic (IL)","(IL)","https://www.maxpreps.com/il/alton/marquette-catholic-explorers/football/schedule/","10/5","vs","Mater Dei","L","42-7","https://www.maxpreps.com/il/breese/mater-dei-knights/football/","2025-02-10T17:06:29.301997","Processed"
"Alton Marquette Catholic (IL)","(IL)","https://www.maxpreps.com/il/alton/marquette-catholic-explorers/football/schedule/","10/11","vs","Perryville","L","49-14","https://www.maxpreps.com/mo/perryville/perryville-pirates/football/","2025-02-10T17:06:29.345637","Processed"
"Alton Marquette Catholic (IL)","(IL)","https://www.maxpreps.com/il/alton/marquette-catholic-explorers/football/schedule/","10/19","@","D DGSW (CO-OP)","L","42-0","https://www.maxpreps.com/il/dwight/dwight-gardner-south-wilmington-trojans/football/","2025-02-10T17:06:29.386723","Processed"
"Alton Marquette Catholic (IL)","(IL)","https://www.maxpreps.com/il/alton/marquette-catholic-explorers/football/schedule/","10/25","@","Roxana","L","42-0","https://www.maxpreps.com/il/roxana/roxana-shells/football/","2025-02-10T17:06:29.427313","Processed"
"Amboy Lamoille (IL)","(IL)","https://www.maxpreps.com/il/amboy/amboy-lamoille-ohio/football/schedule/","8/30","@","R R (CO-OP)","W","36-8","https://www.maxpreps.com/il/woodhull/ridgewood-alwood-cambridge-spartans/football/","2025-02-10T17:06:39.189740","Processed"
"Amboy Lamoille (IL)","(IL)","https://www.maxpreps.com/il/amboy/amboy-lamoille-ohio/football/schedule/","9/7","@","W West Prairie/Southeastern","W","58-14","https://www.maxpreps.com/il/sciota/west-prairie-southeastern/football/","2025-02-10T17:06:39.232486","Processed"
