Sport,Home,Away,Date/Time,Score,Status,ScrapedAt
,Football,Hemlock,Essexville Garber,6-19,Processed,2025-02-01T18:16:53.492458
,Football,Hesperia,Farwell,13-0,Processed,2025-02-01T18:16:53.538968
,Football,Hillsdale,Jonesville,21-22,Processed,2025-02-01T18:16:53.584977
,Football,Holland,Grand Rapids Ottawa Hills,48-0,Processed,2025-02-01T18:16:53.625978
,Football,Holland Christian,Allendale,17-12,Processed,2025-02-01T18:16:53.669707
,Football,Holly,Bay City Western,0-20,Processed,2025-02-01T18:16:53.718697
,Football,Holt,Mason,7-26,Processed,2025-02-01T18:16:53.767663
,Football,Hopkins,Fremont,34-20,Processed,2025-02-01T18:16:53.815519
,Football,Houghton,Iron Mountain,16-26,Processed,2025-02-01T18:16:53.860863
,Football,Howell,Hudsonville,20-17,Processed,2025-02-01T18:16:53.909194
,Football,Hudsonville Unity Christian,Whitehall,43-21,Processed,2025-02-01T18:16:53.956277
,Football,Ionia,Belding,20-6,Processed,2025-02-01T18:16:54.002276
,Football,Jackson Lumen Christi,Michigan Center,49-21,Processed,2025-02-01T18:16:54.046789
,Football,Johannesburg-Lewiston,Harbor Springs,30-18,Processed,2025-02-01T18:16:54.091008
,Football,Kalamazoo Central,Jenison,0-14,Processed,2025-02-01T18:16:54.133019
,Football,Kalamazoo Hackett Catholic Prep,Berrien Springs,20-14,Processed,2025-02-01T18:16:54.175524
,Football,Kalamazoo Loy Norrix,Quincy,51-8,Processed,2025-02-01T18:16:54.220524
,Football,Kalkaska,Manistee,12-47,Processed,2025-02-01T18:16:54.266045
,Football,Kingsford,Escanaba,21-0,Processed,2025-02-01T18:16:54.311043
,Football,Kingsley,Reed City,22-24,Processed,2025-02-01T18:16:54.354559
,Football,Laingsburg,Durand,7-41,Processed,2025-02-01T18:16:54.396733
,Football,Lakeview,McBain,0-37,Processed,2025-02-01T18:16:54.442472
,Football,L'Anse,Hancock,0-6,Processed,2025-02-01T18:16:54.489628
,Football,Lansing Catholic,Williamston,35-28,Processed,2025-02-01T18:16:54.548146
,Football,Lansing Eastern,Wayne Memorial,26-20,Processed,2025-02-01T18:16:54.597146
,Football,Lansing Everett,Lansing Sexton,28-0,Processed,2025-02-01T18:16:54.641672
,Football,Lapeer,St Clair Shores Lakeview,28-7,Processed,2025-02-01T18:16:54.694672
,Football,Lawton,Benton Harbor,56-0,Processed,2025-02-01T18:16:54.743187
,Football,Lincoln Park,Dearborn Edsel Ford,47-13,Processed,2025-02-01T18:16:54.787426
,Football,Livonia Churchill,New Boston Huron,35-28,Processed,2025-02-01T18:16:54.829431
,Football,Livonia Stevenson,North Farmington,27-22,Processed,2025-02-01T18:16:54.874947
,Football,Lowell,East Grand Rapids,14-33,Processed,2025-02-01T18:16:54.919337
,Football,Ludington,Alpena,67-0,Processed,2025-02-01T18:16:54.964850
,Football,Macomb L'Anse Creuse North,Macomb Lutheran North,0-35,Processed,2025-02-01T18:16:55.011847
,Football,Madison Heights Bishop Foley,Madison Heights Madison,1-0 Forfeit,Processed,2025-02-01T18:16:55.057524
,Football,Mancelona,Frankfort,38-40,Processed,2025-02-01T18:16:55.099525
,Football,Manchester,Marlette,24-8,Processed,2025-02-01T18:16:55.140033
