Sport,Home,Away,Date/Time,Score,Status,ScrapedAt
,Football,Gladstone,Menominee,7-49,Processed,2025-02-01T18:17:53.680409
,Football,Gladwin,Shepherd,56-20,Processed,2025-02-01T18:17:53.722613
,Football,Goodrich,Corunna,42-7,Processed,2025-02-01T18:17:53.764811
,Football,Grand Rapids Catholic Central,Holland Christian,42-18,Processed,2025-02-01T18:17:53.808892
,Football,Grand Rapids Northview,Grand Rapids Ottawa Hills,49-6,Processed,2025-02-01T18:17:53.852041
,Football,Grand Rapids South Christian,Zeeland East,15-22,Processed,2025-02-01T18:17:53.898901
,Football,Grand Rapids Union,Muskegon,0-62,Processed,2025-02-01T18:17:53.944325
,Football,Grand Rapids West Catholic,Wayland,38-0,Processed,2025-02-01T18:17:53.991262
,Football,Grant,Lakeview,27-6,Processed,2025-02-01T18:17:54.041291
,Football,Grayling,Boyne City,18-21,Processed,2025-02-01T18:17:54.090220
,Football,Greenville,Sparta,25-22,Processed,2025-02-01T18:17:54.138714
,Football,Grosse Pointe South,Macomb L'Anse Creuse North,55-0,Processed,2025-02-01T18:17:54.186900
,Football,Grosse Pointe Woods University Liggett,Riverview Gabriel Richard,28-48,Processed,2025-02-01T18:17:54.229209
,Football,Hamilton,Grand Rapids Christian,42-36,Processed,2025-02-01T18:17:54.271071
,Football,Hammond Morton (IN),Hammond Central (IN),42-14,Processed,2025-02-01T18:17:54.314672
,Football,Hamtramck,Redford Westfield Prep,28-6,Processed,2025-02-01T18:17:54.357005
,Football,"Hancock
Faculty/Staff Appreciation Night",Kingsford,8-50,Processed,2025-02-01T18:17:54.397822
,Football,Hanover-Horton,Vandercook Lake,51-0,Processed,2025-02-01T18:17:54.437993
,Football,"Harbor Beach
Homecoming",Marlette,56-6,Processed,2025-02-01T18:17:54.477312
,Football,Harper Woods,Southfield Arts & Technology,49-6,Processed,2025-02-01T18:17:54.515670
,Football,Harrison,Pinconning,16-15,Processed,2025-02-01T18:17:54.556984
,Football,Harrison Township L'Anse Creuse,St Clair Shores Lakeview,48-35,Processed,2025-02-01T18:17:54.598404
,Football,Hastings,Marshall,42-6,Processed,2025-02-01T18:17:54.636527
,Football,Hazel Park,Madison Heights Madison,46-34,Processed,2025-02-01T18:17:54.675118
,Football,Hillsdale,Dundee,6-26,Processed,2025-02-01T18:17:54.739800
,Football,Holland Springfield (OH),Sylvania Northview (OH),21-0,Processed,2025-02-01T18:17:54.792077
,Football,Holland West Ottawa,Jenison,24-21,Processed,2025-02-01T18:17:54.844852
,Football,Homer,Addison,22-60,Processed,2025-02-01T18:17:54.894220
,Football,Hopkins,Holland,48-21,Processed,2025-02-01T18:17:54.939220
,Football,Houghton,Calumet,0-29,Processed,2025-02-01T18:17:54.980734
,Football,Howard City Tri County,Big Rapids,12-48,Processed,2025-02-01T18:17:55.020734
,Football,Howell,Hartland,44-30,Processed,2025-02-01T18:17:55.063739
,Football,Hudson,Adrian Madison,55-17,Processed,2025-02-01T18:17:55.107249
,Football,Hudsonville,Grand Haven,59-14,Processed,2025-02-01T18:17:55.152450
,Football,Hurricane (WV),St. Albans (WV),56-0,Processed,2025-02-01T18:17:55.192968
,Football,International Academy of Flint,Flint New Standard Academy,14-64,Processed,2025-02-01T18:17:55.235969
,Football,Ionia,Lansing Sexton,21-20,Processed,2025-02-01T18:17:55.279497
,Football,Iron Mountain,Gwinn,1-0 Forfeit,Processed,2025-02-01T18:17:55.324788
,Football,"Ishpeming Westwood
Senior Night",Negaunee,6-42,Processed,2025-02-01T18:17:55.369335
,Football,Ithaca,Saginaw Valley Lutheran,48-14,Processed,2025-02-01T18:17:55.414719
,Football,Jackson,Adrian,14-17,Processed,2025-02-01T18:17:55.459085
,Football,Jackson Lumen Christi,Toledo St Francis De Sales (OH),63-35,Processed,2025-02-01T18:17:55.506098
,Football,Jonesville,Brooklyn Columbia Central,32-12,Processed,2025-02-01T18:17:55.553871
,Football,"Kalamazoo Hackett Catholic Prep
Senior Night",Constantine,33-21,Processed,2025-02-01T18:17:55.599917
,Football,Kalamazoo Loy Norrix,Battle Creek Lakeview,41-22,Processed,2025-02-01T18:17:55.646916
,Football,Kent City,Central Montcalm,8-36,Processed,2025-02-01T18:17:55.694577
,Football,LaGrange Prairie Heights (IN),Woodburn Woodlan (IN),0-42,Processed,2025-02-01T18:17:55.736588
,Football,Laingsburg,Bath,25-50,Processed,2025-02-01T18:17:55.778735
,Football,Lake Fenton,Clio,56-0,Processed,2025-02-01T18:17:55.818733
,Football,Lake Odessa Lakewood,Lansing Catholic,14-40,Processed,2025-02-01T18:17:55.858739
,Football,Lansing Everett,Grand Ledge,35-12,Processed,2025-02-01T18:17:55.902114
,Football,Lapeer,Grand Blanc,21-35,Processed,2025-02-01T18:17:55.946385
,Football,LeRoy Pine River,Manton,39-34,Processed,2025-02-01T18:17:55.991667
,Football,Leslie,Napoleon,36-28,Processed,2025-02-01T18:17:56.035669
,Football,Linden,Fenton,21-24,Processed,2025-02-01T18:17:56.081808
,Football,Livonia Churchill,Dearborn Fordson,14-52,Processed,2025-02-01T18:17:56.126388
,Football,Livonia Franklin,Livonia Stevenson,28-27 (OT),Processed,2025-02-01T18:17:56.172924
,Football,"Lowell
Homecoming",Grand Rapids Kenowa Hills,56-35,Processed,2025-02-01T18:17:56.217255
,Football,Lucas (OH),Amanda-Clearcreek (OH),6-24,Processed,2025-02-01T18:17:56.260260
,Football,Ludington,Manistee,39-38,Processed,2025-02-01T18:17:56.307660
,Football,Lutheran Westland,Sterling Heights Parkway Christian,33-0,Processed,2025-02-01T18:17:56.357202
,Football,Macomb Dakota,Romeo,42-7,Processed,2025-02-01T18:17:56.400213
,Football,Madison Heights Lamphere,Sterling Heights,68-0,Processed,2025-02-01T18:17:56.443998
,Football,Mancelona,East Jordan,28-43,Processed,2025-02-01T18:17:56.486705
,Football,Manchester,East Jackson,72-19,Processed,2025-02-01T18:17:56.527280
,Football,"Manistique
Homecoming",West Iron County,33-0,Processed,2025-02-01T18:17:56.569291
,Football,Maple City Glen Lake,Kalkaska,44-13,Processed,2025-02-01T18:17:56.609686
,Football,Marine City,Marysville,20-39,Processed,2025-02-01T18:17:56.648684
,Football,Marquette,Escanaba,28-7,Processed,2025-02-01T18:17:56.687205
,Football,Mason County Central,Hart,35-12,Processed,2025-02-01T18:17:56.725203
,Football,McBain,Lake City,36-8,Processed,2025-02-01T18:17:56.763210
,Football,Medina (OH),Strongsville (OH),14-49,Processed,2025-02-01T18:17:56.801329
,Football,Melvindale,Dearborn Heights Crestwood,14-17,Processed,2025-02-01T18:17:56.841331
,Football,Melvindale Academy for Business & Tech,Southfield Bradford Academy,20-8,Processed,2025-02-01T18:17:56.884846
,Football,Mentor (OH),Shaker Heights (OH),45-6,Processed,2025-02-01T18:17:56.925843
,Football,Michigan Center,Grass Lake,33-28,Processed,2025-02-01T18:17:56.968850
,Football,Midland Dow,Traverse City West,26-12,Processed,2025-02-01T18:17:57.012357
,Football,Monroe Jefferson,Grosse Ile,27-7,Processed,2025-02-01T18:17:57.054357
,Football,Montague,North Muskegon,8-36,Processed,2025-02-01T18:17:57.239429
,Football,Morral Ridgedale (OH),North Baltimore (OH),13-32,Processed,2025-02-01T18:17:57.313946
,Football,Morris (IL),Rochelle (IL),15-37,Processed,2025-02-01T18:17:57.355947
,Football,Mount Pleasant,Bay City Western,24-3,Processed,2025-02-01T18:17:57.394475
,Football,Mt Morris,Durand,23-53,Processed,2025-02-01T18:17:57.437668
,Football,Muskegon Mona Shores,Grand Rapids Forest Hills Northern,33-7,Processed,2025-02-01T18:17:57.477418
,Football,Muskegon Oakridge,Whitehall,7-38,Processed,2025-02-01T18:17:57.520417
,Football,"Muskegon Orchard View
Homecoming",Fremont,28-62,Processed,2025-02-01T18:17:57.561945
,Football,Muskegon Reeths-Puffer,Byron Center,28-42,Processed,2025-02-01T18:17:57.602465
,Football,New Baltimore Anchor Bay,Sterling Heights Stevenson,29-22,Processed,2025-02-01T18:17:57.642463
,Football,Newaygo,Remus Chippewa Hills,27-16,Processed,2025-02-01T18:17:57.680638
,Football,North Branch,Yale,28-14,Processed,2025-02-01T18:17:57.722638
,Football,Northwood (OH),Edon (OH),6-37,Processed,2025-02-01T18:17:57.760645
,Football,Oak Park,North Farmington,18-19,Processed,2025-02-01T18:17:57.799171
,Football,Ogemaw Heights,Midland Bullock Creek,41-3,Processed,2025-02-01T18:17:57.841166
,Football,Okemos,Lansing Waverly,18-25,Processed,2025-02-01T18:17:57.882693
,Football,Olivet,Charlotte,3-14,Processed,2025-02-01T18:17:57.927693
,Football,Orchard Lake St Mary's,Detroit Country Day,48-0,Processed,2025-02-01T18:17:57.970702
,Football,Oscoda,Harbor Springs,42-14,Processed,2025-02-01T18:17:58.015255
,Football,Otisville LakeVille Memorial,New Lothrop,7-41,Processed,2025-02-01T18:17:58.058728
,Football,Otsego,Sturgis,54-6,Processed,2025-02-01T18:17:58.101893
,Football,Ottawa Lake Whiteford,Erie Mason,65-8,Processed,2025-02-01T18:17:58.144890
,Football,Owosso,Ortonville Brandon,47-54,Processed,2025-02-01T18:17:58.195408
,Football,Oxford,Rochester Adams,18-17,Processed,2025-02-01T18:17:58.241411
,Football,Parma Western,Battle Creek Harper Creek,13-32,Processed,2025-02-01T18:17:58.278935
,Football,Paw Paw,Edwardsburg,21-7,Processed,2025-02-01T18:17:58.318934
,Football,Pemberville Eastwood (OH),Fostoria (OH),51-0,Processed,2025-02-01T18:17:58.357935
,Football,Perry,Dansville,38-6,Processed,2025-02-01T18:17:58.400458
,Football,Pickerington North (OH),Grove City Central Crossing (OH),42-0,Processed,2025-02-01T18:17:58.441620
,Football,Pioneer North Central (OH),Petersburg Summerfield,7-48,Processed,2025-02-01T18:17:58.481487
,Football,Plainwell,Three Rivers,6-21,Processed,2025-02-01T18:17:58.527074
,Football,Plymouth,Novi,20-21,Processed,2025-02-01T18:17:58.575005
,Football,Pontiac,Ferndale,0-37,Processed,2025-02-01T18:17:58.622729
,Football,Port Huron Northern,Fraser,49-14,Processed,2025-02-01T18:17:58.664212
,Football,Portage Central,Kalamazoo Central,21-14,Processed,2025-02-01T18:17:58.704898
,Football,Portland,Eaton Rapids,64-0,Processed,2025-02-01T18:17:58.749206
,Football,Quincy,Stockbridge,7-28,Processed,2025-02-01T18:17:58.790241
,Football,Ravenna,Hesperia,42-10,Processed,2025-02-01T18:17:58.831433
,Football,Reading,Springport,24-28,Processed,2025-02-01T18:17:58.872444
,Football,Redford Thurston,Dearborn Heights Robichaud,13-14,Processed,2025-02-01T18:17:58.915666
,Football,Redford Union,Dearborn Heights Annapolis,54-0,Processed,2025-02-01T18:17:58.957664
,Football,Reed City,Pontiac Notre Dame Prep,26-57,Processed,2025-02-01T18:17:59.001075
,Football,Richmond,Imlay City,42-13,Processed,2025-02-01T18:17:59.045076
,Football,River Rouge,Cleveland Heights (OH),7-14,Processed,2025-02-01T18:17:59.087603
,Football,Riverview,Monroe St Mary Catholic Central,15-34,Processed,2025-02-01T18:17:59.130786
,Football,Rochester Hills Stoney Creek,Rochester,22-21,Processed,2025-02-01T18:17:59.172797
,Football,Romulus,Garden City,26-29,Processed,2025-02-01T18:17:59.211826
,Football,Romulus Summit Academy North,Detroit University Prep Science & Math,48-18,Processed,2025-02-01T18:17:59.252831
,Football,Roscommon,Houghton Lake,43-52,Processed,2025-02-01T18:17:59.294904
,Football,Saginaw Nouvel Catholic Central,Hemlock,42-8,Processed,2025-02-01T18:17:59.335903
,Football,Saginaw Swan Valley,Bridgeport,41-0,Processed,2025-02-01T18:17:59.375436
,Football,Salem,Northville,21-27,Processed,2025-02-01T18:17:59.415435
,Football,Saline,Temperance Bedford,48-3,Processed,2025-02-01T18:17:59.459442
,Football,Sandusky,Elkton-Pigeon-Bay Port Laker,16-44,Processed,2025-02-01T18:17:59.499192
,Football,Sanford Meridian,Farwell,41-7,Processed,2025-02-01T18:17:59.541379
,Football,Saranac,Potterville,63-26,Processed,2025-02-01T18:17:59.581895
,Football,Saugatuck,Galesburg-Augusta,52-14,Processed,2025-02-01T18:17:59.622895
,Football,Schoolcraft,Lawton,17-3,Processed,2025-02-01T18:17:59.662908
,Football,"**Homecoming**
Shelby",Holton,1-0 Forfeit,Processed,2025-02-01T18:17:59.707423
,Football,South Haven,Watervliet,43-0,Processed,2025-02-01T18:17:59.753429
,Football,Southgate Anderson,Brownstown Woodhaven,41-21,Processed,2025-02-01T18:17:59.794116
,Football,Spring Lake,Ada Forest Hills Eastern,28-34,Processed,2025-02-01T18:17:59.833117
,Football,St Clair Shores Lake Shore,Grosse Pointe North,6-14,Processed,2025-02-01T18:17:59.875847
,Football,"St Clair Shores South Lake
Homecoming",St Clair,6-42,Processed,2025-02-01T18:17:59.920846
,Football,St John Lake Central (IN),Chesterton (IN),16-17,Processed,2025-02-01T18:17:59.963852
,Football,St Johns,Mason,10-40,Processed,2025-02-01T18:18:00.007368
,Football,St Joseph,Portage Northern,48-34,Processed,2025-02-01T18:18:00.054369
,Football,Standish-Sterling,Clare,26-27,Processed,2025-02-01T18:18:00.098887
,Football,Stevensville Lakeshore,Mattawan,7-42,Processed,2025-02-01T18:18:00.142889
,Football,Swartz Creek,Flushing,14-42,Processed,2025-02-01T18:18:00.184407
,Football,Taylor,Lincoln Park,32-48,Processed,2025-02-01T18:18:00.225407
,Football,Toledo Central Catholic (OH),Toledo St John's Jesuit (OH),56-21,Processed,2025-02-01T18:18:00.263416
,Football,Toledo Ottawa Hills (OH),West Unity Hilltop (OH),76-6,Processed,2025-02-01T18:18:00.301936
,Football,Traverse City Central,Midland,7-30,Processed,2025-02-01T18:18:00.344938
,Football,Troy Athens,Clarkston,7-36,Processed,2025-02-01T18:18:00.384246
,Football,"Ubly
Homecoming",Reese,46-20,Processed,2025-02-01T18:18:00.426246
,Football,Union City,Bronson,36-8,Processed,2025-02-01T18:18:00.466256
,Football,Utica,Roseville,0-47,Processed,2025-02-01T18:18:00.507347
,Football,Utica Ford,Port Huron,6-23,Processed,2025-02-01T18:18:00.549349
,Football,"Homecoming
Vassar",Unionville-Sebewaing,24-34,Processed,2025-02-01T18:18:00.592585
,Football,Vermontville Maple Valley,Sand Creek,8-38,Processed,2025-02-01T18:18:00.632736
,Football,Vicksburg,Niles,7-49,Processed,2025-02-01T18:18:00.673744
,Football,Walkterton John Glenn (IN),Lakeville Laville (IN),7-17,Processed,2025-02-01T18:18:00.714265
,Football,Walled Lake Central,Milford,0-34,Processed,2025-02-01T18:18:00.758261
,Football,Walled Lake Northern,Waterford Kettering,18-21,Processed,2025-02-01T18:18:00.808651
,Football,Walled Lake Western,South Lyon East,56-21,Processed,2025-02-01T18:18:00.854056
,Football,Warren Fitzgerald,Warren Woods Tower,26-0,Processed,2025-02-01T18:18:00.897688
,Football,Warren Lincoln,New Haven,28-6,Processed,2025-02-01T18:18:00.941419
,Football,Waterford Mott,White Lake Lakeland,7-21,Processed,2025-02-01T18:18:00.990168
,Football,Waterford Our Lady of the Lakes,Royal Oak Shrine Catholic,7-14,Processed,2025-02-01T18:18:01.032168
,Football,Wayne Memorial,Dearborn,0-58,Processed,2025-02-01T18:18:01.075893
,Football,West Bloomfield,Lake Orion,49-41,Processed,2025-02-01T18:18:01.118034
,Football,Westland John Glenn,Belleville,15-42,Processed,2025-02-01T18:18:01.159034
,Football,White Cloud,Morley Stanwood,12-18 (OT),Processed,2025-02-01T18:18:01.198561
,Football,White Pigeon,Hartford,66-0,Processed,2025-02-01T18:18:01.240559
,Football,"Whitmore Lake
Homecoming",Rochester Hills Lutheran Northwest,30-23,Processed,2025-02-01T18:18:01.284085
,Football,Williamston,Haslett,21-35,Processed,2025-02-01T18:18:01.328086
,Football,Wyandotte Roosevelt,Allen Park,0-23,Processed,2025-02-01T18:18:01.370096
,Football,Wyoming,Hudsonville Unity Christian,14-46,Processed,2025-02-01T18:18:01.411607
,Football,Wyoming Godwin Heights,Fruitport,15-12,Processed,2025-02-01T18:18:01.454610
,Football,Wyoming Kelloggsville,Benton Harbor,24-8,Processed,2025-02-01T18:18:01.492999
,Football,Ypsilanti Community,Pinckney,27-35,Processed,2025-02-01T18:18:01.534000
,Football,Zeeland West,Grand Rapids Forest Hills Central,28-7,Processed,2025-02-01T18:18:01.576519
,Football,Benzie Central,Kingsley,29-57,Processed,2025-02-01T18:18:01.620521
,Football,Berkley,Jackson Northwest,12-35,Processed,2025-02-01T18:18:01.660518
,Football,Bloomfield Hills Cranbrook Kingswood,Macomb Lutheran North,0-49,Processed,2025-02-01T18:18:01.700044
,Football,"Center Line
Homecoming",Eastpointe,60-0,Processed,2025-02-01T18:18:01.743046
,Football,Detroit Leadership Academy,Arts & Technology Academy of Pontiac,20-26,Processed,2025-02-01T18:18:01.787572
,Football,"Detroit Voyageur College Prep
Pink Out",Warren Michigan Collegiate,14-24,Processed,2025-02-01T18:18:01.830745
,Football,Marine City Cardinal Mooney,Clarkston Everest Collegiate,0-43,Processed,2025-02-01T18:18:01.877273
,Football,Newmarket Huron Heights (CN),Buffalo Bishop Timon (NY),27-7,Processed,2025-02-01T18:18:01.919452
,Football,Sault Ste Marie,Cedar Springs,8-54,Processed,2025-02-01T18:18:01.962460
,Football,Vanlue (OH),Blackhawk Christian (IN),20-62,Processed,2025-02-01T18:18:02.001976
,Football,Warren Mott,Warren Cousino,35-21,Processed,2025-02-01T18:18:02.043141
,Football,Ann Arbor Huron,Temperance Bedford,20-31,Processed,2025-02-01T18:18:02.092665
,Football,Ann Arbor Skyline,Ann Arbor Pioneer,30-33 (OT),Processed,2025-02-01T18:18:02.133666
,Football,Auburn Hills Avondale,Berkley,49-7,Processed,2025-02-01T18:18:02.173675
,Football,Birmingham Groves,Southfield Arts & Technology,42-12,Processed,2025-02-01T18:18:02.213190
,Football,Detroit Cass Tech,Detroit Western,40-0,Processed,2025-02-01T18:18:02.254191
,Football,Detroit Cody,Detroit Osborn,28-14,Processed,2025-02-01T18:18:02.295444
,Football,Detroit Country Day,Detroit U of D Jesuit,16-9,Processed,2025-02-01T18:18:02.335445
,Football,Detroit Henry Ford,Detroit Renaissance,6-28,Processed,2025-02-01T18:18:02.375454
,Football,Detroit Northwestern,Detroit Communication Media Arts,20-0,Processed,2025-02-01T18:18:02.421508
,Football,L'Anse,West Iron County,14-20,Processed,2025-02-01T18:18:02.462514
,Football,North Farmington,Birmingham Seaholm,24-23,Processed,2025-02-01T18:18:02.503638
,Football,Toledo Bowsher (OH),Toledo Start (OH),14-42,Processed,2025-02-01T18:18:02.545639
,Football,Toledo Bowsher (OH),Toledo Start (OH),14-42,Processed,2025-02-01T18:18:02.584166
,Football,Toronto St Michaels College School (CN),Toronto Chaminade (CN),2-7,Processed,2025-02-01T18:18:02.626165
,Football,"Family Night
Troy",Farmington,23-32,Processed,2025-02-01T18:18:02.668173
,Football,Troy Athens,Bloomfield Hills,28-25,Processed,2025-02-01T18:18:02.707686
,Football,Walled Lake Northern,Waterford Mott,6-28,Processed,2025-02-01T18:18:02.748930
,Football,Walled Lake Western,Milford,37-0,Processed,2025-02-01T18:18:02.788029
,Football,Waterford Kettering,Walled Lake Central,47-40,Processed,2025-02-01T18:18:02.828030
,Football,West Bloomfield,Oxford,14-38,Processed,2025-02-01T18:18:02.869200
,Football,Windsor Holy Names (CN),Windsor Herman (CN),14-0,Processed,2025-02-01T18:18:02.911715
,Football,Ada Forest Hills Eastern,Grand Rapids West Catholic,23-24,Processed,2025-02-01T18:18:02.962721
,Football,Addison,Hanover-Horton,0-42,Processed,2025-02-01T18:18:03.009896
,Football,Adrian Madison,Ida,17-48,Processed,2025-02-01T18:18:03.057202
,Football,Allen Park Cabrini,Marine City Cardinal Mooney,14-25,Processed,2025-02-01T18:18:03.099106
,Football,Allendale,Lowell,20-49,Processed,2025-02-01T18:18:03.145882
,Football,Almont,Richmond,43-7,Processed,2025-02-01T18:18:03.189085
,Football,Ann Arbor Father Gabriel Richard,Grosse Pointe Woods University Liggett,24-31,Processed,2025-02-01T18:18:03.232013
,Football,Armada,North Branch,31-21,Processed,2025-02-01T18:18:03.275026
,Football,Arts & Technology Academy of Pontiac,Detroit Lincoln-King,0-58,Processed,2025-02-01T18:18:03.313540
,Football,Bad Axe,Cass City,0-1 Forfeit,Processed,2025-02-01T18:18:03.353541
,Football,Bath,Saranac,22-8,Processed,2025-02-01T18:18:03.396109
,Football,Battle Creek Harper Creek,Hastings,32-0,Processed,2025-02-01T18:18:03.436241
,Football,Battle Creek Lakeview,Stevensville Lakeshore,12-38,Processed,2025-02-01T18:18:03.477753
,Football,Battle Creek Pennfield,Marshall,8-37,Processed,2025-02-01T18:18:03.516759
,Football,Bay City John Glenn,Freeland,27-54,Processed,2025-02-01T18:18:03.558760
,Football,Bay City Western,Traverse City Central,10-12,Processed,2025-02-01T18:18:03.599974
,Football,Beal City,LeRoy Pine River,42-3,Processed,2025-02-01T18:18:03.640974
,Football,Beaverton,Pinconning,20-39,Processed,2025-02-01T18:18:03.681512
,Football,Belding,Muskegon Oakridge,30-3,Processed,2025-02-01T18:18:03.722509
,Football,Belleville,Wayne Memorial,41-0,Processed,2025-02-01T18:18:03.763852
,Football,Berrien Springs,Dowagiac,22-20,Processed,2025-02-01T18:18:03.806340
,Football,Birch Run,Durand,27-26,Processed,2025-02-01T18:18:03.846338
,Football,Brighton,Plymouth,49-48,Processed,2025-02-01T18:18:03.887860
,Football,Bronson,Quincy,64-13,Processed,2025-02-01T18:18:03.932503
,Football,Brooklyn Columbia Central,Homer,28-6,Processed,2025-02-01T18:18:03.979395
,Football,Burton Atherton,Flint Hamady,24-62,Processed,2025-02-01T18:18:04.024916
,Football,Canton,Salem,6-30,Processed,2025-02-01T18:18:04.074927
,Football,Canton McKinley (OH),Uniontown Lake (OH),35-21,Processed,2025-02-01T18:18:04.123451
,Football,Carleton Airport,Monroe Jefferson,60-43,Processed,2025-02-01T18:18:04.169460
,Football,Cassopolis,Decatur,0-1 Forfeit,Processed,2025-02-01T18:18:04.215151
,Football,Center Line,St Clair Shores South Lake,12-14 (3OT),Processed,2025-02-01T18:18:04.258154
,Football,Central Montcalm,Lakeview,54-6,Processed,2025-02-01T18:18:04.299680
,Football,Centreville,White Pigeon,6-40,Processed,2025-02-01T18:18:04.343681
,Football,Charlotte,Portland,26-48,Processed,2025-02-01T18:18:04.392204
,Football,Cincinnati Elder (OH),Riverdale Baptist (MD),27-28 (OT),Processed,2025-02-01T18:18:04.436208
,Football,Cincinnati Moeller (OH),Cleveland St Ignatius (OH),44-0,Processed,2025-02-01T18:18:04.476212
,Football,Clarkston Everest Collegiate,Ottawa Lake Whiteford,24-12,Processed,2025-02-01T18:18:04.518622
,Football,Cleveland Heights (OH),Medina (OH),44-0,Processed,2025-02-01T18:18:04.559621
,Football,Clinton Township Chippewa Valley,New Baltimore Anchor Bay,24-21,Processed,2025-02-01T18:18:04.597143
,Football,Clio,Corunna,6-70,Processed,2025-02-01T18:18:04.641145
,Football,Coloma,Lawton,8-46,Processed,2025-02-01T18:18:04.680398
,Football,Comstock,Morley Stanwood,0-38,Processed,2025-02-01T18:18:04.723400
,Football,Constantine,Parchment,30-51,Processed,2025-02-01T18:18:04.764408
,Football,Croswell-Lexington,Imlay City,46-12,Processed,2025-02-01T18:18:04.804780
,Football,Dansville,Laingsburg,20-47,Processed,2025-02-01T18:18:04.843776
,Football,Dearborn,Livonia Stevenson,45-34,Processed,2025-02-01T18:18:04.886299
,Football,Dearborn Advanced Tech Academy,Lutheran Westland,44-0,Processed,2025-02-01T18:18:04.930540
,Football,Dearborn Divine Child,Toledo St Francis De Sales (OH),21-28,Processed,2025-02-01T18:18:04.973546
,Football,Dearborn Edsel Ford,Taylor,26-22,Processed,2025-02-01T18:18:05.016062
,Football,Dearborn Fordson,Westland John Glenn,42-26,Processed,2025-02-01T18:18:05.061062
,Football,Dearborn Heights Annapolis,Melvindale,7-40,Processed,2025-02-01T18:18:05.104741
,Football,Dearborn Heights Crestwood,Redford Union,12-55,Processed,2025-02-01T18:18:05.149743
,Football,Dearborn Heights Robichaud,Garden City,22-35,Processed,2025-02-01T18:18:05.193271
,Football,Detroit Central,Detroit Pershing,40-6,Processed,2025-02-01T18:18:05.234266
,Football,Detroit Community,Southfield Bradford Academy,14-12,Processed,2025-02-01T18:18:05.285006
,Football,Detroit Douglass,Detroit Denby,0-50,Processed,2025-02-01T18:18:05.332106
,Football,Detroit East English,Detroit Martin Luther King,14-40,Processed,2025-02-01T18:18:05.375096
,Football,Detroit Edison,Harper Woods Chandler Park,32-14,Processed,2025-02-01T18:18:05.417285
,Football,Detroit Leadership Academy,Mount Clemens,0-16,Processed,2025-02-01T18:18:05.460421
,Football,Detroit Loyola,Bloomfield Hills Cranbrook Kingswood,43-7,Processed,2025-02-01T18:18:05.499533
,Football,Detroit Old Redford,Melvindale Academy for Business & Tech,46-0,Processed,2025-02-01T18:18:05.540534
,Football,Detroit Southeastern,Detroit Mumford,22-8,Processed,2025-02-01T18:18:05.580052
,Football,Detroit University Prep Science & Math,Detroit Voyageur College Prep,13-28,Processed,2025-02-01T18:18:05.621055
,Football,Dundee,Hudson,0-32,Processed,2025-02-01T18:18:05.660054
,Football,East Jackson,Leslie,12-54,Processed,2025-02-01T18:18:05.698189
,Football,East Jordan,Harbor Springs,42-13,Processed,2025-02-01T18:18:05.743194
,Football,Ecorse,Detroit University Prep,20-0,Processed,2025-02-01T18:18:05.785727
,Football,Edon (OH),West Unity Hilltop (OH),47-6,Processed,2025-02-01T18:18:05.831726
,Football,Edwardsburg,Niles,14-21,Processed,2025-02-01T18:18:05.876736
,Football,Essexville Garber,Alma,21-7,Processed,2025-02-01T18:18:05.921255
,Football,Farwell,Harrison,14-42,Processed,2025-02-01T18:18:05.965262
,Football,Flint Carman-Ainsworth,Davison,6-63,Processed,2025-02-01T18:18:06.009783
,Football,Flushing,Fenton,21-41,Processed,2025-02-01T18:18:06.056783
,Football,Frankenmuth,Bridgeport,48-6,Processed,2025-02-01T18:18:06.099504
,Football,Fremont (IN),LaGrange Prairie Heights (IN),7-14,Processed,2025-02-01T18:18:06.142818
,Football,Fruitport,Hopkins,12-27,Processed,2025-02-01T18:18:06.182342
,Football,Galesburg-Augusta,Delton Kellogg,35-16,Processed,2025-02-01T18:18:06.222759
,Football,Genesee,Burton Bendle,0-45,Processed,2025-02-01T18:18:06.265519
,Football,Gibraltar Carlson,Brownstown Woodhaven,49-14,Processed,2025-02-01T18:18:06.306360
,Football,Grand Blanc,Saginaw United,51-14,Processed,2025-02-01T18:18:06.347361
,Football,Grand Haven,East Kentwood,7-42,Processed,2025-02-01T18:18:06.386807
,Football,Grand Ledge,DeWitt,0-42,Processed,2025-02-01T18:18:06.429126
,Football,Grand Rapids Catholic Central,Grand Rapids Northview,3-12,Processed,2025-02-01T18:18:06.473133
,Football,Grand Rapids Christian,Wayland,34-55,Processed,2025-02-01T18:18:06.519651
,Football,Grand Rapids Forest Hills Central,Zeeland East,21-6,Processed,2025-02-01T18:18:06.562649
,Football,Grand Rapids Forest Hills Northern,Byron Center,24-51,Processed,2025-02-01T18:18:06.602178
,Football,Grand Rapids Kenowa Hills,Coopersville,43-41,Processed,2025-02-01T18:18:06.643333
,Football,Grand Rapids Ottawa Hills,East Grand Rapids,0-45,Processed,2025-02-01T18:18:06.681852
,Football,Grass Lake,Manchester,54-46,Processed,2025-02-01T18:18:06.725348
,Football,"Greenville
Rocket Football Night",Cadillac,16-24,Processed,2025-02-01T18:18:06.764345
,Football,Grove City HS (OH),Pickerington North (OH),7-28,Processed,2025-02-01T18:18:06.802868
,Football,Hamilton,Spring Lake,24-14,Processed,2025-02-01T18:18:06.842867
,Football,Hamilton St Thomas More (CN),Hamilton Bishop Ryan (CN),8-6,Processed,2025-02-01T18:18:06.886391
