Date,League,Home,Home_Score,Away,Away_Score,Source,ScrapedAt
06-Sep-25,9aside(EX),Wainwright,38,Coaldale,0,www.footballalberta.ab.ca,2025-12-07T07:46:28.749148
06-Sep-25,WHE(EX),Cold Lake,24,Grande Prairie,23,www.footballalberta.ab.ca,2025-12-07T07:46:28.787149
11-Sep-25,9aside,Wetaskiwin,23,Wainwright,50,www.footballalberta.ab.ca,2025-12-07T07:46:28.860662
11-Sep-25,9aside,Millwood Christian,21,Ponoka,37,www.footballalberta.ab.ca,2025-12-07T07:46:28.897662
11-Sep-25,9aside,High Prairie,12,Peace River,41,www.footballalberta.ab.ca,2025-12-07T07:46:28.935177
11-Sep-25,CEN,Iron Ridge,6,Stettler,34,www.footballalberta.ab.ca,2025-12-07T07:46:28.974177
11-Sep-25,CEN,Lacombe,38,Lindsay Thurber,3,www.footballalberta.ab.ca,2025-12-07T07:46:29.012181
11-Sep-25,CGY,Joane Cardinal-Schubert,31,St. Mary's,17,www.footballalberta.ab.ca,2025-12-07T07:46:29.050692
11-Sep-25,CGY,Henry Wise Wood,1,All Saints,16,www.footballalberta.ab.ca,2025-12-07T07:46:29.095009
11-Sep-25,CGY,Dr. E. P. Scarlett,11,Bishop McNally,0,www.footballalberta.ab.ca,2025-12-07T07:46:29.137629
11-Sep-25,CGY,Centennial,0,St. Francis,35,www.footballalberta.ab.ca,2025-12-07T07:46:29.183628
11-Sep-25,CGY,Notre Dame (CGY),27,Lord Beaverbrook,7,www.footballalberta.ab.ca,2025-12-07T07:46:29.224703
11-Sep-25,CGY,Bowness,6,Ernest Manning,31,www.footballalberta.ab.ca,2025-12-07T07:46:29.265281
11-Sep-25,ED2,Sturgeon,41,Strathcona,16,www.footballalberta.ab.ca,2025-12-07T07:46:29.307284
11-Sep-25,ED2,Beaumont,35,St. Francis Xavier,14,www.footballalberta.ab.ca,2025-12-07T07:46:29.345793
11-Sep-25,ED2,Lillian Osborne,3,Archbishop Jordan,57,www.footballalberta.ab.ca,2025-12-07T07:46:29.386793
11-Sep-25,ED3,Ardrossan,17,Leduc,3,www.footballalberta.ab.ca,2025-12-07T07:46:29.424309
12-Sep-25,9aside,Valleyview,52,Whitecourt,6,www.footballalberta.ab.ca,2025-12-07T07:46:29.464310
12-Sep-25,BSK,Drumheller,47,Canmore,28,www.footballalberta.ab.ca,2025-12-07T07:46:29.507313
12-Sep-25,BSK(EX),Olds,8,Willow Creek,16,www.footballalberta.ab.ca,2025-12-07T07:46:29.547823
12-Sep-25,CEN,Notre Dame (RD),7,Sylvan Lake,0,www.footballalberta.ab.ca,2025-12-07T07:46:29.588823
12-Sep-25,CEN,Camrose,0,Hunting Hills,23,www.footballalberta.ab.ca,2025-12-07T07:46:29.629338
12-Sep-25,CGY,Forest Lawn,14,Sir Winston Churchill,28,www.footballalberta.ab.ca,2025-12-07T07:46:29.667340
12-Sep-25,CGY,Crescent Heights (CGY),14,Central Memorial,33,www.footballalberta.ab.ca,2025-12-07T07:46:29.708342
12-Sep-25,CGY,Our Lady of the Rockies,0,Bishop Carroll,21,www.footballalberta.ab.ca,2025-12-07T07:46:29.746852
12-Sep-25,CGY,Father Lacombe,36,Lester B. Pearson,18,www.footballalberta.ab.ca,2025-12-07T07:46:29.788852
12-Sep-25,CGY,Robert Thirsk,0,Western Canada,21,www.footballalberta.ab.ca,2025-12-07T07:46:29.829367
12-Sep-25,CGY(EX),North Trail,6,Bert Church,36,www.footballalberta.ab.ca,2025-12-07T07:46:29.868368
12-Sep-25,ED1,Austin O'Brien,16,Ross Sheppard,23,www.footballalberta.ab.ca,2025-12-07T07:46:29.907371
12-Sep-25,ED1,Bev Facey,7,Harry Ainlay,40,www.footballalberta.ab.ca,2025-12-07T07:46:29.945879
12-Sep-25,ED1,Spruce Grove,19,Salisbury,36,www.footballalberta.ab.ca,2025-12-07T07:46:29.986880
12-Sep-25,ED2,Bellerose,46,M.E. LaZerte,0,www.footballalberta.ab.ca,2025-12-07T07:46:30.028394
12-Sep-25,ED2,Paul Kane,22,Archbishop O'Leary,1,www.footballalberta.ab.ca,2025-12-07T07:46:30.068395
12-Sep-25,ED3,Queen Elizabeth,0,McNally,42,www.footballalberta.ab.ca,2025-12-07T07:46:30.106399
12-Sep-25,ED3,St. Joseph,13,St. Albert,26,www.footballalberta.ab.ca,2025-12-07T07:46:30.147909
12-Sep-25,IND,Foothills,0,Holy Rosary,43,www.footballalberta.ab.ca,2025-12-07T07:46:30.188909
12-Sep-25,MPE,Fort McMurray,12,Grande Prairie,48,www.footballalberta.ab.ca,2025-12-07T07:46:30.226425
12-Sep-25,MPE,Sexsmith,DNP,Peace Wapiti,DNP,www.footballalberta.ab.ca,2025-12-07T07:46:30.264425
12-Sep-25,PSK,L.C.I.,44,Medicine Hat,0,www.footballalberta.ab.ca,2025-12-07T07:46:30.302427
12-Sep-25,PSK,Cardston,14,Chinook,21,www.footballalberta.ab.ca,2025-12-07T07:46:30.340940
12-Sep-25,PSK(EX),Raymond,50,Holy Trinity Academy,14,www.footballalberta.ab.ca,2025-12-07T07:46:30.382940
12-Sep-25,RKV,Chestermere,7,George McDougall,31,www.footballalberta.ab.ca,2025-12-07T07:46:30.420096
12-Sep-25,RKV,W.H. Croxford,6,Cochrane,38,www.footballalberta.ab.ca,2025-12-07T07:46:30.458096
12-Sep-25,SOU,Crescent Heights (MH),27,Brooks,13,www.footballalberta.ab.ca,2025-12-07T07:46:30.495096
12-Sep-25,SOU(EX),McCoy,18,Catholic Central,25,www.footballalberta.ab.ca,2025-12-07T07:46:30.533610
13-Sep-25,6aside1,Hinton,54,Holy Redeemer,22,www.footballalberta.ab.ca,2025-12-07T07:46:30.573611
13-Sep-25,6aside1,Breton,86,Rimbey,65,www.footballalberta.ab.ca,2025-12-07T07:46:30.612614
13-Sep-25,6aside1,Rocky Mountain House,20,J.C Charyk,68,www.footballalberta.ab.ca,2025-12-07T07:46:30.653123
13-Sep-25,6aside2,Roland Mitchener,,St. Carlo Acutis,,www.footballalberta.ab.ca,2025-12-07T07:46:30.696123
13-Sep-25,6aside2,J.R. Robson,14,Westlock,51,www.footballalberta.ab.ca,2025-12-07T07:46:30.742642
13-Sep-25,6aside2,Notre Dame (JV),45,HTA - Drayton Valley,37,www.footballalberta.ab.ca,2025-12-07T07:46:30.790644
13-Sep-25,9aside,Coaldale,0,Carstairs,30,www.footballalberta.ab.ca,2025-12-07T07:46:30.837153
13-Sep-25,ED1(EX),Jasper Place,20,St. Joseph's,30,www.footballalberta.ab.ca,2025-12-07T07:46:30.882153
13-Sep-25,IND,Strathmore,44,W.R. Myers,51,www.footballalberta.ab.ca,2025-12-07T07:46:30.926429
13-Sep-25,RKV,Springbank,15,Bow Valley,10,www.footballalberta.ab.ca,2025-12-07T07:46:30.968429
17-Sep-25,IND,Holy Trinity Academy JV,14,St. Paul,41,www.footballalberta.ab.ca,2025-12-07T07:46:31.059714
17-Sep-25,9aside(EX),St. Joseph's JV,19,Sexsmith,23,www.footballalberta.ab.ca,2025-12-07T07:46:31.105718
18-Sep-25,9aside,Frank Maddock,39,High Prairie,0,www.footballalberta.ab.ca,2025-12-07T07:46:31.150229
18-Sep-25,BSK,Highwood,0,Olds,45,www.footballalberta.ab.ca,2025-12-07T07:46:31.198230
18-Sep-25,CGY,Lester B. Pearson,0,John G. Diefenbaker,37,www.footballalberta.ab.ca,2025-12-07T07:46:31.249752
18-Sep-25,CGY,Bishop O'Byrne,15,Our Lady of the Rockies,19,www.footballalberta.ab.ca,2025-12-07T07:46:31.295752
18-Sep-25,CGY,Bishop McNally,35,Father Lacombe,7,www.footballalberta.ab.ca,2025-12-07T07:46:31.343980
18-Sep-25,CGY,North Trail,34,Forest Lawn,0,www.footballalberta.ab.ca,2025-12-07T07:46:31.388651
18-Sep-25,CGY,Sir Winston Churchill,21,Nelson Mandela,0,www.footballalberta.ab.ca,2025-12-07T07:46:31.435776
18-Sep-25,ED2,Archbishop O'Leary,0,Bellerose,24,www.footballalberta.ab.ca,2025-12-07T07:46:31.476776
18-Sep-25,ED2,Sturgeon,14,Paul Kane,21,www.footballalberta.ab.ca,2025-12-07T07:46:31.519833
18-Sep-25,ED3,McNally,35,Fort Saskatchewan,6,www.footballalberta.ab.ca,2025-12-07T07:46:31.565838
18-Sep-25,ED3,St. Albert,14,Ardrossan,24,www.footballalberta.ab.ca,2025-12-07T07:46:31.613844
18-Sep-25,RKV,Bert Church,41,Chestermere,3,www.footballalberta.ab.ca,2025-12-07T07:46:31.657356
19-Sep-25,9aside,Whitecourt,7,Peace River,52,www.footballalberta.ab.ca,2025-12-07T07:46:31.702356
19-Sep-25,9aside,Bonnyville,59,Wetaskiwin,21,www.footballalberta.ab.ca,2025-12-07T07:46:31.749871
19-Sep-25,9aside,Millwood Christian,32,Wainwright,28,www.footballalberta.ab.ca,2025-12-07T07:46:31.796871
19-Sep-25,CEN,Stettler,14,Lacombe,33,www.footballalberta.ab.ca,2025-12-07T07:46:31.843391
19-Sep-25,CEN,Sylvan Lake,0,Hunting Hills,35,www.footballalberta.ab.ca,2025-12-07T07:46:31.891386
19-Sep-25,CEN,Notre Dame (RD),63,Lindsay Thurber,0,www.footballalberta.ab.ca,2025-12-07T07:46:31.936903
19-Sep-25,CEN,Camrose,48,Iron Ridge,7,www.footballalberta.ab.ca,2025-12-07T07:46:31.978903
19-Sep-25,CGY,Bowness,21,All Saints,0,www.footballalberta.ab.ca,2025-12-07T07:46:32.018908
19-Sep-25,CGY,Centennial,14,Notre Dame (CGY),38,www.footballalberta.ab.ca,2025-12-07T07:46:32.057420
19-Sep-25,CGY,St. Francis,28,Lord Beaverbrook,14,www.footballalberta.ab.ca,2025-12-07T07:46:32.096419
19-Sep-25,CGY,Crescent Heights (CGY),12,William Aberhart,41,www.footballalberta.ab.ca,2025-12-07T07:46:32.133931
19-Sep-25,CGY,Henry Wise Wood,26,Joane Cardinal-Schubert,30,www.footballalberta.ab.ca,2025-12-07T07:46:32.172931
19-Sep-25,CGY(EX),Ernest Manning,24,L.C.I.,19,www.footballalberta.ab.ca,2025-12-07T07:46:32.212935
19-Sep-25,ED1,Salisbury,10,Harry Ainlay,20,www.footballalberta.ab.ca,2025-12-07T07:46:32.250446
19-Sep-25,ED1,Spruce Grove,13,Austin O'Brien,20,www.footballalberta.ab.ca,2025-12-07T07:46:32.288447
19-Sep-25,ED1,Jasper Place,21,Bev Facey,8,www.footballalberta.ab.ca,2025-12-07T07:46:32.326960
19-Sep-25,ED2,Archbishop Jordan,26,Beaumont,24,www.footballalberta.ab.ca,2025-12-07T07:46:32.364960
19-Sep-25,ED2,St. Francis Xavier,28,Strathcona,28,www.footballalberta.ab.ca,2025-12-07T07:46:32.408965
19-Sep-25,ED3,Leduc,22,St. Joseph,7,www.footballalberta.ab.ca,2025-12-07T07:46:32.449476
20-Sep-25,IND,Foothills,36,Drumheller,14,www.footballalberta.ab.ca,2025-12-07T07:46:32.493476
19-Sep-25,MPE,Peace Wapiti,13,Grande Prairie,11,www.footballalberta.ab.ca,2025-12-07T07:46:32.534990
19-Sep-25,PSK,Catholic Central,36,Medicine Hat,16,www.footballalberta.ab.ca,2025-12-07T07:46:32.573989
19-Sep-25,PSK(EX),Cardston,42,Willow Creek,12,www.footballalberta.ab.ca,2025-12-07T07:46:32.611993
19-Sep-25,RKV,Cochrane,38,Springbank,7,www.footballalberta.ab.ca,2025-12-07T07:46:32.649506
18-Sep-25,RKV(EX),George McDougall,17,Raymond,63,www.footballalberta.ab.ca,2025-12-07T07:46:32.689506
19-Sep-25,SOU,Winston Churchill,12,Crescent Heights (MH),23,www.footballalberta.ab.ca,2025-12-07T07:46:32.733024
19-Sep-25,SOU,Brooks,8,W.R. Myers,44,www.footballalberta.ab.ca,2025-12-07T07:46:32.776023
20-Sep-25,6aside1,J.C. Charyk,47,Hinton,46,www.footballalberta.ab.ca,2025-12-07T07:46:32.821542
20-Sep-25,6aside1,Rimbey,22,Rocky Mountain House,14,www.footballalberta.ab.ca,2025-12-07T07:46:32.860541
20-Sep-25,6aside1,Holy Redeemer,24,Breton,52,www.footballalberta.ab.ca,2025-12-07T07:46:32.897541
20-Sep-25,6aside2,St. Carlo Acutis,57,HTA - Drayton Valley,0,www.footballalberta.ab.ca,2025-12-07T07:46:32.934056
20-Sep-25,6aside2,Notre Dame (JV),45,Parkland,42,www.footballalberta.ab.ca,2025-12-07T07:46:32.973056
20-Sep-25,6aside2,Roland Mitchener,31,J.R. Robson,41,www.footballalberta.ab.ca,2025-12-07T07:46:33.013063
20-Sep-25,9aside,Pincher Creek,6,Carstairs,46,www.footballalberta.ab.ca,2025-12-07T07:46:33.053572
20-Sep-25,RKV,W.H. Croxford,41,Bow Valley,14,www.footballalberta.ab.ca,2025-12-07T07:46:33.092573
20-Sep-25,MPE(EX),Fort McMurray,28,Prince George (BC),20,www.footballalberta.ab.ca,2025-12-07T07:46:33.130094
20-Sep-25,WHE(EX),Holy Rosary,21,St. Joseph's,0,www.footballalberta.ab.ca,2025-12-07T07:46:33.174095
20-Sep-25,WHE(EX),Cold Lake,21,McCoy,14,www.footballalberta.ab.ca,2025-12-07T07:46:33.222396
25-Sep-25,BSK(EX),Olds,10,Holy Rosary,37,www.footballalberta.ab.ca,2025-12-07T07:46:33.311399
25-Sep-25,CGY,Western Canada,0,Our Lady of the Rockies,1,www.footballalberta.ab.ca,2025-12-07T07:46:33.351913
25-Sep-25,CGY,St. Francis,33,All Saints,3,www.footballalberta.ab.ca,2025-12-07T07:46:33.394911
25-Sep-25,CGY,William Aberhart,3,Notre Dame (CGY),37,www.footballalberta.ab.ca,2025-12-07T07:46:33.435430
25-Sep-25,CGY,Ernest Manning,34,Henry Wise Wood,3,www.footballalberta.ab.ca,2025-12-07T07:46:33.474431
25-Sep-25,CGY,Central Memorial,31,Bishop O'Byrne,31,www.footballalberta.ab.ca,2025-12-07T07:46:33.513434
26-Sep-25,CGY,Crescent Heights (CGY),0,Bishop Carroll,37,www.footballalberta.ab.ca,2025-12-07T07:46:33.558623
25-Sep-25,ED2,Archbishop O'Leary,0,M.E. LaZerte,10,www.footballalberta.ab.ca,2025-12-07T07:46:33.601163
25-Sep-25,ED2,Bellerose,24,Sturgeon,17,www.footballalberta.ab.ca,2025-12-07T07:46:33.640677
25-Sep-25,ED2,Paul Kane,17,Beaumont,0,www.footballalberta.ab.ca,2025-12-07T07:46:33.682240
25-Sep-25,ED2,Archbishop Jordan,60,St. Francis Xavier,8,www.footballalberta.ab.ca,2025-12-07T07:46:33.727317
25-Sep-25,ED2,Lillian Osborne,0,Strathcona,36,www.footballalberta.ab.ca,2025-12-07T07:46:33.767317
25-Sep-25,ED3,Fort Saskatchewan,25,St. Joseph,6,www.footballalberta.ab.ca,2025-12-07T07:46:33.802317
26-Sep-25,9aside,Valleyview,44,High Prairie,20,www.footballalberta.ab.ca,2025-12-07T07:46:33.841838
26-Sep-25,BSK,Highwood,20,Drumheller,28,www.footballalberta.ab.ca,2025-12-07T07:46:33.878838
26-Sep-25,BSK(EX),Canmore,21,Strathmore,42,www.footballalberta.ab.ca,2025-12-07T07:46:33.916844
26-Sep-25,CEN,Sylvan Lake,26,Camrose,15,www.footballalberta.ab.ca,2025-12-07T07:46:33.954934
26-Sep-25,CEN,Hunting Hills,35,Lindsay Thurber,3,www.footballalberta.ab.ca,2025-12-07T07:46:33.991930
