cluster,block,appearances,active_teams,seasons_present,expected_gpt,actual_gpt,intensity_completeness,est_missing_appearances
Fresno,1950-1959,1254,43,10,78.12698412698413,29.162790697674417,0.37327424094951,2105.0
Redding,1980-1989,2888,68,10,73.3529411764706,42.470588235294116,0.5789895749799518,2100.0
Stockton,1940-1949,235,30,10,74.10606060606061,7.833333333333333,0.10570435493764056,1988.0
San Diego,1950-1959,1779,53,10,70.82608695652173,33.56603773584906,0.47392195698252204,1975.0
San Diego,1940-1949,1233,45,10,70.82608695652173,27.4,0.38686310620012276,1954.0
Redding,1940-1949,1155,42,10,73.3529411764706,27.5,0.3748997594226142,1926.0
Redding,1970-1979,3761,77,10,73.3529411764706,48.84415584415584,0.665878628188171,1887.0
Redding,1950-1959,2031,53,10,73.3529411764706,38.320754716981135,0.5224160627014268,1857.0
Bakersfield,2000-2009,1436,42,4,77.875,34.19047619047619,0.4390430329435145,1835.0
Bakersfield,1960-1969,1338,36,10,77.875,37.166666666666664,0.4772605671482076,1466.0
Inland Empire,1970-1979,4402,82,10,71.56488549618321,53.68292682926829,0.7501294308943088,1466.0
San Diego,1970-1979,4597,85,10,70.82608695652173,54.082352941176474,0.7635936879355795,1423.0
Stockton,1980-1989,3396,65,10,74.10606060606061,52.246153846153845,0.705018637057075,1421.0
Inland Empire,1940-1949,377,25,10,71.56488549618321,15.08,0.21071786666666667,1412.0
San Jose,1980-1989,4541,75,10,78.89393939393939,60.54666666666667,0.7674438256193585,1376.0
Salinas,1950-1959,555,26,10,72.0,21.346153846153847,0.296474358974359,1317.0
Inland Empire,1980-1989,5799,99,10,71.56488549618321,58.57575757575758,0.8184985858585858,1286.0
Salinas,1970-1979,1241,35,10,72.0,35.457142857142856,0.49246031746031743,1279.0
Redding,2000-2009,1317,35,4,73.3529411764706,37.628571428571426,0.512979722763203,1250.0
Salinas,1960-1969,984,31,10,72.0,31.741935483870968,0.44086021505376344,1248.0
San Jose,1940-1949,127,17,10,78.89393939393939,7.470588235294118,0.09469153515064563,1214.0
Fresno,1970-1979,3597,61,10,78.12698412698413,58.967213114754095,0.7547611593314726,1169.0
Fresno,1940-1949,251,18,10,78.12698412698413,13.944444444444445,0.1784843559528647,1155.0
Bakersfield,1940-1949,118,15,8,77.875,7.866666666666666,0.10101658640984483,1050.0
Salinas,2000-2009,929,27,4,72.0,34.407407407407405,0.47788065843621397,1015.0
Eureka,1970-1979,444,17,10,82.66666666666667,26.11764705882353,0.3159392789373814,961.0
Bakersfield,1990-1999,2567,44,10,77.875,58.34090909090909,0.7491609514081424,859.0
Eureka,1950-1959,305,13,10,82.66666666666667,23.46153846153846,0.28380893300248133,770.0
Salinas,1940-1949,70,9,7,72.0,7.777777777777778,0.10802469135802469,578.0
Eureka,1940-1949,79,7,10,82.66666666666667,11.285714285714286,0.13652073732718895,500.0
Salinas,1980-1989,1490,27,10,72.0,55.18518518518518,0.7664609053497942,454.0
Stockton,1990-1999,4155,62,10,74.10606060606061,67.01612903225806,0.9043272369922372,440.0
Eureka,1980-1989,336,9,10,82.66666666666667,37.333333333333336,0.45161290322580644,408.0
Eureka,1960-1969,354,9,10,82.66666666666667,39.333333333333336,0.47580645161290325,390.0
Fresno,1960-1969,2806,40,10,78.12698412698413,70.15,0.8978971962616823,319.0
Bakersfield,1980-1989,2422,35,10,77.875,69.2,0.8886035313001606,304.0
Bakersfield,1970-1979,2049,30,10,77.875,68.3,0.8770465489566612,287.0
Eureka,2000-2009,227,6,4,82.66666666666667,37.833333333333336,0.4576612903225806,269.0
Eureka,1990-1999,395,8,10,82.66666666666667,49.375,0.5972782258064516,266.0
Fresno,1980-1989,3526,48,10,78.12698412698413,73.45833333333333,0.9402427874847622,224.0
Fresno,1990-1999,4232,56,10,78.12698412698413,75.57142857142857,0.9672897196261682,143.0
Sacramento,1990-1999,7526,93,10,82.16129032258064,80.9247311827957,0.984949613924879,115.0
Redding,1990-1999,3225,35,10,73.3529411764706,92.14285714285714,1.2561576354679802,0.0
Salinas,1990-1999,2097,28,10,72.0,74.89285714285714,1.0401785714285714,0.0
San Diego,1990-1999,6480,87,10,70.82608695652173,74.48275862068965,1.0516288816917507,0.0
San Diego,1980-1989,5824,79,10,70.82608695652173,73.72151898734177,1.0408808696800864,0.0
San Jose,1990-1999,5450,64,10,78.89393939393939,85.15625,1.0793763203380067,0.0
San Francisco,1990-1999,7788,93,10,78.95348837209302,83.74193548387096,1.0606489619459356,0.0
