Alias_Name,GameCount,Standardized_Name
St. Helens (OR),985,Saint Helens (OR)
St. Helens Alumni (OR),5,Saint Helens Alumni (OR)
St. Helens Kiwanis (OR),5,Saint Helens Kiwanis (OR)
Saint Paul (OR),279,Saint Paul (OR)
Salem (OR),300,Salem (OR)
Salem Academy-Willamette Valley Christian (OR),298,Salem Academy-Willamette Valley Christian (OR)
Salem Blanchet Catholic (OR),217,Salem Blanchet Catholic (OR)
Salem Chemawa (OR),178,Salem Chemawa (OR)
Salem Chemawa Indian (OR),107,Salem Chemawa Indian (OR)
Salem McKay (OR),435,Salem McKay (OR)
Salem Sprague (OR),555,Salem Sprague (OR)
Sandy (OR),898,Sandy (OR)
Scappoose (OR),814,Scappoose (OR)
Scio (OR),283,Scio (OR)
Seaside (OR),915,Seaside (OR)
Seaside Jewell (OR),126,Seaside Jewell (OR)
Sheridan-Sheridan Japanese (OR),287,Sheridan-Sheridan Japanese (OR)
Sherwood (OR),732,Sherwood (OR)
Siletz Valley (OR),154,Siletz Valley (OR)
Silver Lake North Lake (OR),171,Silver Lake North Lake (OR)
Silverton (OR),911,Silverton (OR)
Sisters (OR),328,Sisters (OR)
South Albany (OR),517,South Albany (OR)
South Eugene (OR),1015,South Eugene (OR)
South Medford (OR),428,South Medford (OR)
South Salem (OR),778,South Salem (OR)
Springfield (OR),964,Springfield (OR)
Springfield Thurston (OR),670,Springfield Thurston (OR)
Stanfield (OR),218,Stanfield (OR)
Stayton (OR),559,Stayton (OR)
Stayton Regis (OR),319,Stayton Regis (OR)
Sutherlin (OR),642,Sutherlin (OR)
Sweet Home (OR),867,Sweet Home (OR)
The Dalles (OR),976,The Dalles (OR)
The Dalles-Wahtonka (OR),123,The Dalles-Wahtonka (OR)
The Dalles/South Wasco County (OR),1,The Dalles-Wahtonka-South Wasco County (OR)
The Dalles-Wahtonka-South Wasco County (OR),8,The Dalles-Wahtonka-South Wasco County (OR)
Tigard (OR),1015,Tigard (OR)
Tillamook (OR),1048,Tillamook (OR)
Toledo (OR),837,Toledo (OR)
Troutdale Columbia (OR),113,Troutdale Columbia (OR)
Troutdale Reynolds (OR),668,Troutdale Reynolds (OR)
Tualatin (OR),372,Tualatin (OR)
Turner Cascade (OR),590,Turner Cascade (OR)
Umatilla (OR),269,Umatilla (OR)
Union (OR),273,Union (OR)
University of Oregon Fresh (OR),10,University of Oregon Frosh (OR)
University of Oregon Frosh (OR),1,University of Oregon Frosh (OR)
Vale (OR),958,Vale (OR)
Vernonia (OR),355,Vernonia (OR)
Waldport (OR),478,Waldport (OR)
Wallowa (OR),243,Wallowa (OR)
Warrenton (OR),328,Warrenton (OR)
West Albany (OR),1063,West Albany (OR)
West Albany Town Team (OR),2,West Albany Town Team (OR)
West Albany Town Team? (OR),1,West Albany Town Team (OR)
West Linn (OR),1046,West Linn (OR)
West Salem (OR),250,West Salem (OR)
Willamina (OR),454,Willamina (OR)
Wilsonville (OR),332,Wilsonville (OR)
Winston Douglas (OR),606,Winston Douglas (OR)
Woodburn (OR),676,Woodburn (OR)
Yamhill Carlton (OR),17,Yamhill-Carlton (OR)
Yamhill-Carlton (OR),523,Yamhill-Carlton (OR)
Yoncalla (OR),215,Yoncalla (OR)
