Alias_Name,GameCount,Standardized_Name
Goodwater (AL),331,Goodwater (AL)
Gordo (AL),1002,Gordo (AL)
Gorgas (AL),111,Gorgas (AL)
T.W. Martin (AL),477,Gorgas T.W. Martin (AL)
Goshen (AL),714,Goshen (AL)
Grady South Montgomery County Academy (AL),353,Grady South Montgomery County Academy (AL)
Grand Bay (AL),459,Grand Bay (AL)
Grant Kate Duncan Smith DAR (AL),190,Grant Kate Duncan Smith DAR (AL)
Greensboro (AL),1013,Greensboro (AL)
Greensboro Southern Academy (AL),492,Greensboro Southern Academy (AL)
Greenville (AL),976,Greenville (AL)
Greenville Academy (AL),222,Greenville Academy (AL)
Greenville Fort Dale Academy (AL),466,Greenville Fort Dale Academy (AL)
Grove Hill Academy (AL),193,Grove Hill Academy (AL)
Grove Hill Clarke County (AL),1083,Grove Hill Clarke County (AL)
Grove Hill Clark County (AL),10,Grove Hill Clarke County (AL)
Grove Hill Clarke Prep (AL),306,Grove Hill Clarke Prep (AL)
Guin Marion County (AL),877,Guin Marion County (AL)
Gulf Shores (AL),268,Gulf Shores (AL)
Guntersville (AL),1188,Guntersville (AL)
Guntersville Brindlee Mountain (AL),200,Guntersville Brindlee Mountain (AL)
Gurley Madison County (AL),867,Gurley Madison County (AL)
Hackleburg (AL),931,Hackleburg (AL)
Hale County Training (AL),100,Hale County Training (AL)
Haleyville (AL),960,Haleyville (AL)
Hamilton (AL),1126,Hamilton (AL)
Hanceville (AL),887,Hanceville (AL)
Harpersville Coosa Valley Academy (AL),596,Harpersville Coosa Valley Academy (AL)
Harpersville Coosa Valley (AL),17,Harpersville Coosa Valley Academy (AL)
Hartford Geneva County (AL),880,Hartford Geneva County (AL)
Hartselle (AL),1132,Hartselle (AL)
Harvest Sparkman (AL),667,Harvest Sparkman (AL)
Hayden (AL),785,Hayden (AL)
Hayneville (AL),269,Hayneville (AL)
Hayneville Central (AL),212,Hayneville Central (AL)
Hazel Green (AL),654,Hazel Green (AL)
Headland (AL),824,Headland (AL)
Heflin Cleburne County (AL),956,Heflin Cleburne County (AL)
Helena (AL),130,Helena (AL)
Hewitt-Trussville (AL),937,Hewitt-Trussville (AL)
Hicks Memorial (AL),119,Hicks Memorial (AL)
Higdon North Sand Mountain (AL),594,Higdon North Sand Mountain (AL)
Higdon North Sand (AL),19,Higdon North Sand Mountain (AL)
Highland Home (AL),812,Highland Home (AL)
Hillcrest Evergreen (AL),148,Hillcrest Evergreen (AL)
Hillcrest Tuscaloosa (AL),262,Hillcrest Tuscaloosa (AL)
Hobson City Calhoun County Training (AL),153,Hobson City Calhoun County Training (AL)
Hokes Bluff (AL),935,Hokes Bluff (AL)
Holly Pond (AL),628,Holly Pond (AL)
Holt (AL),982,Holt (AL)
Homewood (AL),653,Homewood (AL)
Homewood Rosedale (AL),462,Homewood Rosedale (AL)
Hoover (AL),782,Hoover (AL)
Hoover Spain Park (AL),266,Hoover Spain Park (AL)
Hope Hull Hooper Academy (AL),512,Hope Hull Hooper Academy (AL)
Hope Hull Hooper (AL),1,Hope Hull Hooper Academy (AL)
Hueytown (AL),1048,Hueytown (AL)
Huntsville (AL),1121,Huntsville (AL)
Huntsville A.L. Johnson (AL),410,Huntsville A.L. Johnson (AL)
Huntsville Butler (AL),703,Huntsville Butler (AL)
Huntsville Columbia (AL),237,Huntsville Columbia (AL)
Huntsville Freedom Academy (AL),209,Huntsville Freedom Academy (AL)
Huntsville Grissom (AL),596,Huntsville Grissom (AL)
Huntsville J.O. Johnson (AL),384,Huntsville J.O. Johnson (AL)
Huntsville Lee (AL),668,Huntsville Lee (AL)
Lee Huntsville B-Team (AL),1,Huntsville Lee B-Team (AL)
Huntsville Pope John Paul II (AL),116,Huntsville Pope John Paul II (AL)
Huntsville St. John (AL),18,Huntsville Pope John Paul II (AL)
Huntsville Saint John Paul II (AL),4,Huntsville Pope John Paul II (AL)
Huntsville Randolph Academy (AL),249,Huntsville Randolph Academy (AL)
Huntsville Westminster Christian (AL),217,Huntsville Westminster Christian (AL)
Huntsville Whitesburg Christian Academy (AL),39,Huntsville Westminster Christian (AL)
Huntsville Whitesburg Christian (AL),18,Huntsville Westminster Christian (AL)
Hurt Military Academy (AL),41,Hurt Military Academy (AL)
Hurt (AL),3,Hurt Military Academy (AL)
Hurt School (AL),2,Hurt Military Academy (AL)
Ider (AL),754,Ider (AL)
Irvington Bryant (AL),294,Irvington Bryant (AL)
Jack Zion Chapel (AL),669,Jack Zion Chapel (AL)
Jackson (AL),1081,Jackson (AL)
