ID,Date,Season,Home,Home_Score,Visitor,Visitor_Score,Source,Forfeit,OT,Date_Added
79717EA5-C098-4328-BBC6-F9CAAD47B220,1987,Lafayette TeurlingsCatholic (LA),26,Lake Arthur (LA),0,https://www.newspapers.com/image/211105410/,0.0,,00:00.0
0F4C06B3-F6BA-4D8C-AC52-F9A43679CD21,1975,Hughes Springs (TX),34,Queen City (TX),0,The Times,,0.0,58:43.0
DDF298F4-DE19-4720-AD88-F99CA8ED7E45,1978,Decatur (AR),41,Winslow (AR),16,The Sun,,0.0,05:42.2
B8F3FC38-92C0-4BFC-8F17-F8C870E709BD,1980,Kingston (OK),24,Apache (OK),17,The Daily Oklahoman,,0.0,49:21.1
9235A085-35E0-4A06-808E-F8C56CD0E465,1983,Ardmore Plainview (OK),24,Kingston (OK),12,The Daily Oklahoman,,0.0,54:33.2
657E7AB8-3557-47A2-9013-F8B6C28E5701,1992,Anniston Donoho (AL),44,West Birmingham Christian (NACC) (AL),14,http://www.ahsfhs.org,0.0,,00:00.0
9C40F5FF-6271-4D91-8BA6-F86F03EE3F3B,1997,Decatur (AR),53,Hartman Johnson County Westside (AR),0,The Sun,,0.0,52:24.4
652326DA-45F8-404D-85B3-F854A77822A4,1982,Decatur (WA),13,Puyallup (WA),9,The Spokesman Review,,0.0,05:19.7
AE65DA7B-1B4F-44E8-8B4A-F83FCF6B1960,1997,Medford (OK),32,Waukomis (OK),14,The Daily Oklahoman,,0.0,30:50.0
7FDEF9A1-B110-47BA-9E57-F7DBC69D36ED,1975,Garfield (WA),46,Palouse (WA),14,The Spokesman Review,,0.0,05:19.7
C407351D-0122-469F-B7FA-F7BC41F3FA9E,1979,Springboro (OH),22,Madison-Butler (H) (OH),14,The Akron Beacon Journal,,0.0,00:02.7
8F72EC51-25B8-4573-9661-F787120CE637,1994,Medford (OK),42,Deer Creek-Lamont (OK),0,The Daily Oklahoman,,0.0,30:50.0
EE3A5EAD-702A-40E1-9167-F7597DDFCF2D,1979,Garfield (OH),29,Akron North (OH),0,The Akron Beacon Journal,,0.0,00:02.7
26EA78B4-0783-4B7F-AB11-F752F4FF9E1E,1998,Healdton (OK),31,Kingston (OK),19,The Daily Oklahoman,,0.0,39:48.1
31D501CF-5FE6-4418-970A-F74F7FB5A178,1950,Clifton Forge (VA),55,Low Moor Central (VA),6,http://fourseasonsfootball.com/va.html,0.0,,00:00.0
DA1257A7-5D05-4BB5-8CD2-F71AD358F4FD,1989,Okeene (OK),21,Medford (OK),6,The Daily Oklahoman,,0.0,54:45.1
D4CF096E-2593-4802-B960-F70500C9EB58,1991,Pasadena Chesapeake (MD),25,Queen (MD),0,The Baltimore Sun,,0.0,48:08.1
A22FBD61-44A8-491C-8FDC-F6E0E6200B28,1980,Sheffield-Chapin (IA),14,Ventura (IA),6,20 Sep 1980 - 15 - Quad-City Times at Newspapers.com#http://20 Sep 1980 - 15 - Quad-City Times at Newspapers.com#,0.0,,00:00.0
303D778D-701C-4FFB-87CD-F6D6973FC22E,1985,Forgan (OK),45,Yarbrough (OK),14,The Daily Oklahoman,,0.0,50:38.1
7DD42126-A672-4D4B-B765-F6B561B58F91,1988,Yarbrough (OK),12,Freedom (OK),6,The Daily Oklahoman,,0.0,54:45.1
EFE18F95-E94F-497B-9993-F6A6642DA177,1961,Low Moor Central (VA),0,Hot Springs Bath County (VA),19,http://fourseasonsfootball.com/va.html,0.0,,00:00.0
5AC94974-1CFA-4693-B2AB-F69675E7F46C,1983,Decatur (WA),14,Puyallup (WA),9,The Spokesman Review,,0.0,45:34.5
CF7C3685-52B7-4336-BA0B-F686EE0B7E54,1973,Wautoma (WI),8,Wittenberg-Birnamwood (WI),0,http://www.classmates.com/siteui/yearbooks/4182800843?page=90,0.0,,00:00.0
B915C44D-13BD-48CB-AAB3-F67BA9DE868B,1921,Mississippi College (TN),34,Union University (TN),0,http://www.myheritage.com/research/collection-90100/lest-we-forget-1922-union-university-students-yearbooks?itemId=73000170&action=showRecord,0.0,,00:00.0
774ED0C6-C4FB-44F2-9DE1-F62BDBD3BE6A,1979,Akron Buchtel (OH),17,Garfield (OH),11,The Akron Beacon Journal,,0.0,00:02.7
746B0819-CAE8-4E4B-AF68-F628D1C52E86,2001,Elkins (AR),27,Decatur (AR),14,The Sun,,0.0,23:47.0
864A9342-BA97-4D2D-BFB8-F6235031F823,1979,Medford (OK),22,Deer Creek-Lamont (OK),7,The Daily Oklahoman,,0.0,00:04.8
1C48A928-F7C8-41CB-AE42-F61CE7FAFCF4,1990,Yarbrough (OK),26,Forgan (OK),13,The Daily Oklahoman,,0.0,26:42.6
0529074C-5486-47D5-88BA-F61C644CF273,1992,West Birmingham Christian (NACC) (AL),26,Gorgas T.W. Martin (AL),20,http://www.ahsfhs.org,0.0,,00:00.0
D88A8DF3-0886-4424-AA76-F5FE89ED9CD4,1972,Bark River-Harris (MI),36,Cooks Big Bay De Noc (MI),14,http://michigan-football.com/,0.0,,00:00.0
41EBCC3D-C55C-424F-9C39-F5D06B49399B,2003,Medford (OK),34,Enid Oklahoma Bible (OK),6,The Daily Oklahoman,,0.0,12:34.6
37348260-9E40-4661-9C72-F5B28E9A63D6,1997,Barker (NY),28,Bolivar (NY),0,Democrat and Chronicle 1997 10 26 Page 56.txt,0.0,0.0,16:45.0
F5702FC1-4B88-43D0-B18B-F5AC79932AAB,1985,Edgard West Saint John (LA),16,Destrehan (LA),2,https://www.newspapers.com/image/219066879,0.0,,00:00.0
78E36724-17AB-4F63-9304-F59BB5588289,2002,Clearwater (NE),27,Coleridge (NE),26,http://www.classmates.com/siteui/yearbooks/4182807120?page=55,0.0,,00:00.0
09BDBD14-14C4-461D-B8BA-F594BEF07AA6,1982,Powers North Central (MI),42,Cooks Big Bay De Noc (MI),0,25 Sep 1982 - Page 18 - Green Bay Press-Gazette at Newspapers.com#http://25 Sep 1982 - Page 18 - Green Bay Press-Gazette at Newspapers.com#,0.0,,00:00.0
6DB72C2E-0CE5-4826-A037-F55F82B9AD3D,1988,Thomas (OK),34,Medford (OK),0,The Daily Oklahoman,,0.0,54:45.1
EFBA5484-4774-4D36-8F24-F52BEF568DA2,1939,Winnfield (LA),6,"Winnfield Opp """"St. Johns"""" (LA)",0,http://www.winnfieldtigerfootball.com/id20.html,0.0,,00:00.0
3E5AFA59-8742-4AD0-A320-F4DDACF1DC61,1982,Garber (OK),27,Medford (OK),6,The Daily Oklahoman,,0.0,47:46.9
2E807312-BC79-485C-A065-F4DD88F87C9E,1991,Medford (OK),42,Buffalo (OK),6,The Daily Oklahoman,,0.0,26:42.6
33A5959A-BF28-4E52-98B9-F4BCFF8FDE92,1989,Queen (MD),15,Glen Burnie (MD),0,The Baltimore Sun,,0.0,48:08.1
00D1CF12-2ACB-40E6-9424-F4A3F708C89C,1983,Madill (OK),21,Kingston (OK),7,The Daily Oklahoman,,0.0,54:33.2
A1B187F2-8327-4648-B28D-F450F8ABAFF1,1992,Warrior Academy (AL),28,Tuscaloosa Christian (NACC) (AL),6,http://www.ahsfhs.org,0.0,,00:00.0
D89591E6-D5BE-4068-A350-F3DD4C927490,1995,Strasburg-Zeeland (ND),20,Campbell County co-op [Herreid-Pollock] (ND),19,https://www.newspapers.com/image/240256671/,0.0,,00:00.0
01C37ED1-B76D-4077-A06B-F3CC6AED68B6,1978,Frankfort-Schuyler (NY),30,Fort Plain (NY),8,Syracuse Herald Journal,,,43:41.9
CF126C85-957F-4243-A3F6-F3ABC58A05D4,1988,Kingston (OK),35,Atoka (OK),0,The Daily Oklahoman,,0.0,54:45.1
