Name,Game_Count,Suffix_Problem
Niagara University *NY),1,"expected the name to end in ' (XX)' (space, open paren, exactly two letters, close paren) -- got '...y *NY)' instead"
Press and Sun Bulletin Opp Syracuse,1,"expected the name to end in ' (XX)' (space, open paren, exactly two letters, close paren) -- got '...racuse' instead"
Planview Christian,1,"expected the name to end in ' (XX)' (space, open paren, exactly two letters, close paren) -- got '...istian' instead"
Saint Louis Northwest (MO.),1,"expected the name to end in ' (XX)' (space, open paren, exactly two letters, close paren) -- got '... (MO.)' instead"
Taft Junior College CA),1,"expected the name to end in ' (XX)' (space, open paren, exactly two letters, close paren) -- got '...ge CA)' instead"
Sinai Western Anderson County (KY,1,"expected the name to end in ' (XX)' (space, open paren, exactly two letters, close paren) -- got '...ty (KY' instead"
Sheridan Illinois Youth Center (IL) ,1,"expected the name to end in ' (XX)' (space, open paren, exactly two letters, close paren) -- got '... (IL) ' instead"
Saint Louis Trinity (ty),1,"expected the name to end in ' (XX)' (space, open paren, exactly two letters, close paren) -- got '...y (ty)' instead"
Sun Prairie (B WI),1,"expected the name to end in ' (XX)' (space, open paren, exactly two letters, close paren) -- got '...(B WI)' instead"
Waynesboro Wayne County ( MS),1,"expected the name to end in ' (XX)' (space, open paren, exactly two letters, close paren) -- got '... ( MS)' instead"
Valley Station Jefferson County (KY,1,"expected the name to end in ' (XX)' (space, open paren, exactly two letters, close paren) -- got '...ty (KY' instead"
