team_id,team_name,season,season_url,raw_schedule_text
2,Follett Panthers,1990,https://lonestarfootball.net/team.asp?action=schedule&T=2&S=1990&GUID=8224682808,"Record: 1-7-0   
WK Team SC Team SC    
9/7  LMiamia 48 PFolletty 0
9/21  PFollettv 66 3Christianv 33
9/28  #Higginsv 54 PFollettv 26
  7McLeana 48 PFollettf 6
10/12  LMiamia 48 PFollettv 20 D
10/26  #Higginsv 56 PFollettv 18 D
11/9  *Groomv 62 PFollettv 47 D
  *Silvertonv 71 PFollettv 35 D



"
2,Follett Panthers,1989,https://lonestarfootball.net/team.asp?action=schedule&T=2&S=1989&GUID=4913470149,"Record: 1-6-0   
WK Team SC Team SC    
9/8  LMiamiv 12 PFollettf 6
10/6  PFollettv 46 #Higginsv 12
  *Groomv 38 PFollettv 26
  nLeforsv 43 PFollettv 42
  *Sharon Mutual, OKv 27 PFollettp 8 E
  7Waynoka, OKv 35 PFollettv 15 E
  *Balko, OKv 44 PFollettd 7 E



"
2,Follett Panthers,1988,https://lonestarfootball.net/team.asp?action=schedule&T=2&S=1988&GUID=7502900362,"Record: 7-4-0   Head Coach: Guerry Wright
WK Team SC Team SC    
9/9  7Texhoma, OKv 27 PFollettp 8 E
9/16  xShattuck, OKr 16 PFollett8 13 E
9/23  PFollettv 20 nShamrocky 0
9/30  xWhite Deerv 34 PFollettf 6 D
10/7  PFollettd 7 mBookery 0 D
10/21  PFollettv 26 7Sunrayv 2 D
10/28  PFollettt 50 nClaudep 8 D
11/4  PFollettv 28 7Wheelery 0 D
11/11  PFollettv 25 7Gruverf 6 D
11/18  PFollettv 24 TSudan @Ama River Roadd 7 A
11/25  nRankin @Hale Centerv 28 PFollettd 7 R



"
2,Follett Panthers,1987,https://lonestarfootball.net/team.asp?action=schedule&T=2&S=1987&GUID=2390401960,"Record: 6-3-0   Head Coach: Guerry Wright
WK Team SC Team SC    
11/13  *Vega3 21 PFollettf 6 D
9/4  PFollettv 28 3Beaver, OKd 7 E
9/11  7Texhoma, OKr 16 PFollett8 13 E
9/18  PFollettf 6 xShattuck, OKy 0 E
9/25  PFollettv 28 nShamrockv 23
10/14  7Wheelerv 28 PFollettd 7 D
10/23  PFollettv 49 7McLeans 14 D
10/30  PFollettv 36 7Sunray3 21 D
11/6  PFollettv 41 mBookerv 20 D



"
2,Follett Panthers,1986,https://lonestarfootball.net/team.asp?action=schedule&T=2&S=1986&GUID=2416312695,"Record: 6-3-0   Head Coach: Guerry Wright
WK Team SC Team SC    
9/5  PFollettv 29 3Beaver, OKd 7 E
9/12  PFollettv 26 7Texhoma, OKv 20 E
9/19  xShattuck, OKv 15 PFolletty 0 E
9/26  PFollettv 38 nShamrocks 14
10/24  PFollettv 1 7McLeany 0 D
11/7  PFollettv 18 mBooker8 13 D
  PFollettv 35 7Phillipsy 0 D
  7Sunrayv 42 PFollettp 8 D
  7Wheelerv 47 PFollett3 21 D



"
2,Follett Panthers,1985,https://lonestarfootball.net/team.asp?action=schedule&T=2&S=1985&GUID=7650164962,"Record: 2-7-0   Head Coach: Guerry Wright
WK Team SC Team SC    
3  *Groomv 20 PFollettf 6 D
  7Texhoma, OKs 14 PFolletty 0 E
10/11  nClaudev 39 PFolletts 14 D
10/25  PFollettv 42 7McLeany 0 D
11/1  mBookerv 23 PFollettf 6 D
11/8  7Phillipsv 47 PFollettd 7 D
  7Gruvers 14 PFollettv 12 D
  PFollettv 26 nLeforsd 7 D
  7Wheeler7 55 PFolletty 0 D



"
2,Follett Panthers,1984,https://lonestarfootball.net/team.asp?action=schedule&T=2&S=1984&GUID=9292815923,"Record: 6-3-0   Head Coach: Guerry Wright
WK Team SC Team SC    
  PFollettv 27 7Texhoma, OKy 0 E
10/5  PFollettd 7 nClaudef 6 D
10/26  PFollettt 50 7McLeanf 6 D
  mBookerv 25 PFolletts 14 D
  PFollett3 21 7Phillipsy 0 D
  7Gruverv 35 PFollettv 18 D
  PFollett$ 45 nLeforsv 22 D
  7Wheelerv 35 PFolletty 0 D
  PFollettv 20 *Groomv 19 D



"
2,Follett Panthers,1983,https://lonestarfootball.net/team.asp?action=schedule&T=2&S=1983&GUID=1709070802,"Record: 2-7-0   Head Coach: Guerry Wright
WK Team SC Team SC    
9/8  PFollettv 38 mTyrone, OKy 0 E
9/15  7Texhoma, OKv 28 PFollettv 19 E
9/30  PFollettv 19 nLeforsd 7 D
10/7  nClaude8 13 PFollettd 7 D
10/14  mBookers 14 PFollettd 7 D
10/21  *Groomv 28 PFollettf 6 D
10/28  7Phillipsv 10 PFollettd 7 D
11/4  7Wheelerv 35 PFollettf 6 D
11/11  7McLeans 14 PFollettv 3 D



"
2,Follett Panthers,1982,https://lonestarfootball.net/team.asp?action=schedule&T=2&S=1982&GUID=7116098404,"Record: 9-2-0   Head Coach: Guerry Wright
WK Team SC Team SC    
9/17  PFollettv 56 mTyrone, OKp 8 E
9/24  PFollettv 54 7Texhoma, OKy 0 E
10/1  PFollettv 7McLeanv D
10/8  PFollettv 25 nClaudev 12 D
10/15  PFollettp 8 mBookerd 7 D
10/22  PFollett8 13 *Groomf 6 D
10/29  7Wheelerv 41 PFollettv 30 D
11/5  PFollettv 34 7Phillipsy 0 D
11/12  PFollettv 27 nLeforss 14 D
11/19  PFollett8 13 #Anton @Clarendonp 8 B
11/26  PFollettv 12 xMotley County @Shamrockf 6 R
12/3  *Knox City @Shamrockv 20 PFollettd 7 Q



"
2,Follett Panthers,1981,https://lonestarfootball.net/team.asp?action=schedule&T=2&S=1981&GUID=895015598,"Record: 8-1-1   Head Coach: Guerry Wright
WK Team SC Team SC    
9/4  PFollettv 28 nLeforsy 0
9/11  PFollettv 35 mTyrone, OKy 0 E
9/18  PFollettv 37 xShattuck, OKy 0 E
9/25  PFollettv 46 *Balko, OKv 22 E
10/2  PFollettv 40 PForgan, OKy 0 E
10/16  PFollettv 41 LMiamiy 0 D
10/23  PFollettv 30 *Groomf 6 D
10/30  PFollettv 20 mBookerv 20 D
11/6  nClaudev 15 PFollettv 12 D
11/13  PFollettv 28 7McLeany 0 D



"
