Team,State,Combined_2025,National_Rank,State_Rank,Previous_Best,Improvement,Games_Played,Total_Seasons,Recognition_Type,Is_State_Top,Is_Program_Record,Website,Recipient_Name,Recipient_Email,Subject_Line,Email_Body
Slayton Murray County Central (MN),MN,15.36,3428,60,-0.56,15.92,11,33,Program Record,0,1,,,,,
Philippi Barbour (WV),WV,15.23,3450,19,12.84,2.39,13,102,Program Record,0,1,,,,,
Holtville (CA),CA,15.23,3451,180,8.0,7.23,11,77,Program Record,0,1,,,,,
Wellington-Napoleon (MO),MO,15.22,3453,87,6.32,8.9,10,55,Program Record,0,1,,,,,
Ladonia Fannindel (TX),TX,15.18,3466,453,-0.6,15.78,12,104,Program Record,0,1,,,,,
San Andreas Calaveras (CA),CA,14.93,3511,186,13.24,1.69,14,74,Program Record,0,1,,,,,
Upsala-Swanville (MN),MN,14.79,3542,62,5.56,9.24,8,28,Program Record,0,1,,,,,
Salem (AR),AR,14.64,3580,37,11.91,2.73,14,50,Program Record,0,1,,,,,
Gates Mills Hawken (OH),OH,14.26,3642,216,12.73,1.53,11,52,Program Record,0,1,,,,,
Pawley's Island Waccamaw (SC),SC,14.21,3653,87,9.06,5.15,11,34,Program Record,0,1,,,,,
Holton Jackson Heights (KS),KS,14.17,3662,90,12.84,1.33,12,56,Program Record,0,1,,,,,
Pawnee Coop (IL),IL,14.1,3677,125,10.1,4.0,11,61,Program Record,0,1,,,,,
Alden-Hebron-Faith Lutheran (IL),IL,13.99,3701,127,1.95,12.04,7,44,Program Record,0,1,,,,,
Campbellsville (KY),KY,13.72,3751,47,13.4,0.32,13,54,Program Record,0,1,,,,,
Boise City (OK),OK,13.61,3772,64,9.29,4.32,11,75,Program Record,0,1,,,,,
Ririe (ID),ID,13.38,3831,38,4.13,9.25,12,52,Program Record,0,1,,,,,
Louisville Kentucky Country Day (KY),KY,12.74,3967,51,9.83,2.91,15,60,Program Record,0,1,,,,,
Mountain View (WY),WY,12.14,4086,5,10.87,1.27,12,70,Program Record,0,1,,,,,
Tomahawk (WI),WI,12.11,4093,102,9.48,2.64,12,75,Program Record,0,1,,,,,
West Bridgewater (MA),MA,11.75,4185,56,2.58,9.17,11,62,Program Record,0,1,,,,,
Lubbock Christian (TX),TX,11.41,4253,533,11.3,0.11,12,58,Program Record,0,1,,,,,
Omak (WA),WA,11.28,4279,79,11.06,0.22,12,54,Program Record,0,1,,,,,
Parkers Prairie (MN),MN,11.19,4297,75,-2.14,13.32,11,53,Program Record,0,1,,,,,
Filer (ID),ID,10.87,4374,46,-3.08,13.96,9,56,Program Record,0,1,,,,,
Wallis Brazos (TX),TX,10.76,4392,549,5.77,4.99,11,28,Program Record,0,1,,,,,
Shoreline Shorewood (WA),WA,10.75,4396,82,-0.45,11.2,10,50,Program Record,0,1,,,,,
Colorado Springs Sand Creek (CO),CO,10.75,4397,63,-2.16,12.9,10,27,Program Record,0,1,,,,,
Kirkland Hiawatha (IL),IL,10.46,4451,140,-4.36,14.82,8,64,Program Record,0,1,,,,,
Florida School for the Deaf (FL),FL,10.13,4522,258,4.97,5.15,8,65,Program Record,0,1,,,,,
Axtell (TX),TX,10.0,4555,565,6.44,3.56,13,78,Program Record,0,1,,,,,
Soldotna (AK),AK,9.53,4659,1,59.89,-50.36,10,44,Top-Rated in State,1,0,,,,,
Elmira Heights Edison (NY),NY,9.4,4689,51,6.07,3.33,9,85,Program Record,0,1,,,,,
Olney East Richland (IL),IL,9.38,4691,153,6.96,2.42,10,98,Program Record,0,1,,,,,
Adna (WA),WA,9.26,4716,92,8.7,0.56,12,47,Program Record,0,1,,,,,
Mountain View (OK),OK,9.11,4753,86,-0.03,9.15,12,36,Program Record,0,1,,,,,
Westville (IL),IL,9.01,4780,158,4.23,4.78,12,73,Program Record,0,1,,,,,
Ashtabula Edgewood (OH),OH,8.74,4832,276,4.22,4.52,11,61,Program Record,0,1,,,,,
Lubbock Christ the King Cathedral (TX),TX,8.74,4833,586,2.12,6.62,11,25,Program Record,0,1,,,,,
Sublette (KS),KS,8.63,4857,126,5.73,2.9,9,77,Program Record,0,1,,,,,
Charlevoix (MI),MI,8.57,4876,192,8.37,0.19,11,79,Program Record,0,1,,,,,
Unionville Putnam County (MO),MO,8.47,4896,115,5.08,3.39,12,48,Program Record,0,1,,,,,
Town Creek Hatton (AL),AL,8.37,4930,127,7.6,0.77,11,71,Program Record,0,1,,,,,
Lawrenceville Brunswick Academy (VA),VA,8.16,4967,115,3.29,4.88,10,62,Program Record,0,1,,,,,
Dewitt Central (IA),IA,8.05,4988,85,1.59,6.46,10,30,Program Record,0,1,,,,,
Norwood (CO),CO,7.77,5054,76,2.45,5.32,11,67,Program Record,0,1,,,,,
Gypsum Eagle Valley (CO),CO,7.45,5115,79,3.07,4.37,11,61,Program Record,0,1,,,,,
Columbus Linden-McKinley (OH),OH,6.96,5219,298,5.96,1.0,11,74,Program Record,0,1,,,,,
New Buffalo (MI),MI,6.83,5242,211,4.32,2.51,10,78,Program Record,0,1,,,,,
Saginaw Valley Lutheran (MI),MI,6.09,5417,220,-3.21,9.3,11,31,Program Record,0,1,,,,,
Holly Ridge Dixon (NC),NC,6.09,5418,187,-7.27,13.36,12,66,Program Record,0,1,,,,,
Waterford (OH),OH,6.03,5428,308,3.22,2.82,12,49,Program Record,0,1,,,,,
Santa Monica St. Monica (CA),CA,5.93,5444,297,-2.06,7.99,12,67,Program Record,0,1,,,,,
Sparta Alleghany (NC),NC,5.89,5453,188,-3.18,9.07,11,58,Program Record,0,1,,,,,
Breckenridge (MI),MI,5.53,5538,228,2.6,2.93,13,80,Program Record,0,1,,,,,
Pocola (OK),OK,5.41,5558,102,1.33,4.08,13,51,Program Record,0,1,,,,,
Bark River-Harris (MI),MI,5.32,5578,231,1.97,3.35,12,70,Program Record,0,1,,,,,
Hanover-Horton (MI),MI,5.28,5588,233,3.02,2.26,13,66,Program Record,0,1,,,,,
Capac (MI),MI,4.95,5673,239,0.01,4.94,12,76,Program Record,0,1,,,,,
Montezuma Riverton Parke (IN),IN,4.9,5687,124,-2.49,7.39,12,39,Program Record,0,1,,,,,
