State_Code,Season,Teams,Total_Games,Actual_Avg_Games,Expected_Games_Per_Team,Coverage_Pct,Priority,Games_Gap
(TX),1962,1024,4439,4.33,5.0,86.6,GOOD,0.67
(TX),1965,1051,4560,4.34,5.0,86.8,GOOD,0.66
(TX),1964,1045,4556,4.36,5.0,87.2,GOOD,0.64
(TX),1966,1066,4645,4.36,5.0,87.2,GOOD,0.64
(TX),1970,1098,4791,4.36,5.0,87.2,GOOD,0.64
(MN),1963,90,314,3.49,4.0,87.25,GOOD,0.51
(TN),1973,227,991,4.37,5.0,87.4,GOOD,0.63
(ND),1964,10,35,3.5,4.0,87.5,GOOD,0.5
(AZ),1963,43,151,3.51,4.0,87.75,GOOD,0.49
(TN),1969,242,1062,4.39,5.0,87.8,GOOD,0.61
(CA),1960,566,2495,4.41,5.0,88.2,GOOD,0.59
(TX),1969,1090,4804,4.41,5.0,88.2,GOOD,0.59
(AZ),1960,36,127,3.53,4.0,88.25,GOOD,0.47
(ID),1971,101,357,3.53,4.0,88.25,GOOD,0.47
(CO),1966,76,269,3.54,4.0,88.5,GOOD,0.46
(DE),1960,25,89,3.56,4.0,89.0,GOOD,0.44
(ID),1964,89,317,3.56,4.0,89.0,GOOD,0.44
(TN),1972,223,992,4.45,5.0,89.0,GOOD,0.55
(GA),1974,369,1641,4.45,5.0,89.0,GOOD,0.55
(AL),1968,432,1928,4.46,5.0,89.2,GOOD,0.54
(GA),1971,345,1540,4.46,5.0,89.2,GOOD,0.54
(KS),1960,259,924,3.57,4.0,89.25,GOOD,0.43
(TX),1971,1088,4864,4.47,5.0,89.4,GOOD,0.53
(MN),1970,440,1584,3.6,4.0,90.0,GOOD,0.4
(TX),1973,1078,4849,4.5,5.0,90.0,GOOD,0.5
(DE),1973,25,90,3.6,4.0,90.0,GOOD,0.4
(TX),1974,1080,4858,4.5,5.0,90.0,GOOD,0.5
(ID),1960,85,307,3.61,4.0,90.25,GOOD,0.39
(AL),1961,350,1582,4.52,5.0,90.4,GOOD,0.48
(ND),1965,13,47,3.62,4.0,90.5,GOOD,0.38
(TX),1972,1085,4911,4.53,5.0,90.6,GOOD,0.47
(GA),1970,329,1494,4.54,5.0,90.8,GOOD,0.46
(GA),1973,360,1634,4.54,5.0,90.8,GOOD,0.46
(WY),1964,70,255,3.64,4.0,91.0,GOOD,0.36
(AL),1960,331,1516,4.58,5.0,91.6,GOOD,0.42
(VA),1962,250,1144,4.58,5.0,91.6,GOOD,0.42
(AL),1962,344,1575,4.58,5.0,91.6,GOOD,0.42
(WA),1961,193,708,3.67,4.0,91.75,GOOD,0.33
(NV),1964,9,33,3.67,4.0,91.75,GOOD,0.33
(WY),1965,69,253,3.67,4.0,91.75,GOOD,0.33
(WY),1963,69,254,3.68,4.0,92.0,GOOD,0.32
(GA),1972,346,1594,4.61,5.0,92.2,GOOD,0.39
(KS),1961,251,927,3.69,4.0,92.25,GOOD,0.31
(IL),1973,494,1821,3.69,4.0,92.25,GOOD,0.31
(VA),1960,231,1068,4.62,5.0,92.4,GOOD,0.38
(WA),1966,226,837,3.7,4.0,92.5,GOOD,0.3
(ID),1973,105,388,3.7,4.0,92.5,GOOD,0.3
(CO),1962,58,215,3.71,4.0,92.75,GOOD,0.29
(AL),1963,346,1604,4.64,5.0,92.8,GOOD,0.36
(AZ),1964,69,257,3.72,4.0,93.0,GOOD,0.28
(AL),1965,359,1669,4.65,5.0,93.0,GOOD,0.35
(CO),1972,187,696,3.72,4.0,93.0,GOOD,0.28
(TN),1970,237,1105,4.66,5.0,93.2,GOOD,0.34
(ME),1962,70,261,3.73,4.0,93.25,GOOD,0.27
(NH),1974,34,127,3.74,4.0,93.5,GOOD,0.26
(AL),1967,384,1799,4.68,5.0,93.6,GOOD,0.32
(DC),1965,16,60,3.75,4.0,93.75,GOOD,0.25
(DE),1969,32,120,3.75,4.0,93.75,GOOD,0.25
(NV),1974,24,90,3.75,4.0,93.75,GOOD,0.25
(PA),1961,645,3030,4.7,5.0,94.0,GOOD,0.3
(WY),1962,67,252,3.76,4.0,94.0,GOOD,0.24
(VT),1964,17,64,3.76,4.0,94.0,GOOD,0.24
(AZ),1961,39,147,3.77,4.0,94.25,GOOD,0.23
(MT),1961,13,49,3.77,4.0,94.25,GOOD,0.23
(MI),1964,604,2280,3.77,4.0,94.25,GOOD,0.23
(AL),1966,376,1774,4.72,5.0,94.4,GOOD,0.28
(IL),1971,528,1996,3.78,4.0,94.5,GOOD,0.22
(MT),1972,9,34,3.78,4.0,94.5,GOOD,0.22
(VA),1961,225,1064,4.73,5.0,94.6,GOOD,0.27
(ND),1974,28,106,3.79,4.0,94.75,GOOD,0.21
(VA),1969,305,1447,4.74,5.0,94.8,GOOD,0.26
